gorilla_gorilla,pongo_abelii
ENSGGOG00000027285,ENSPPYG00000018921,46.8429
ENSGGOG00000011937,ENSPPYG00000018127,40.9524
ENSGGOG00000024538,ENSPPYG00000018475,47.5232
ENSGGOG00000024674,ENSPPYG00000017494,1.65913
ENSGGOG00000025955,ENSPPYG00000019003,48.2402
ENSGGOG00000011821,ENSPPYG00000018923,48.7557
ENSGGOG00000024341,ENSPPYG00000019247,49.1727
ENSGGOG00000011818,ENSPPYG00000018983,48.01
ENSGGOG00000013729,ENSPPYG00000018719,45.4545
ENSGGOG00000001157,ENSPPYG00000017987,48.7329
ENSGGOG00000023396,ENSPPYG00000019031,47.1014
ENSGGOG00000022876,ENSPPYG00000018127,41.2698
ENSGGOG00000027003,ENSPPYG00000017462,46.7909
ENSGGOG00000023322,ENSPPYG00000017575,46.6667
ENSGGOG00000026796,ENSPPYG00000020160,48.7805
ENSGGOG00000012168,ENSPPYG00000020856,47.4227
ENSGGOG00000025217,ENSPPYG00000018883,48.6308
ENSGGOG00000023975,ENSPPYG00000017575,44.5312
ENSGGOG00000009136,ENSPPYG00000020350,48.2353
ENSGGOG00000027478,ENSPPYG00000018383,48.6842
ENSGGOG00000027924,ENSPPYG00000018701,48.1707
ENSGGOG00000025102,ENSPPYG00000018685,48.7923
ENSGGOG00000026642,ENSPPYG00000017575,44.1919
ENSGGOG00000023150,ENSPPYG00000019539,49.1228
ENSGGOG00000022801,ENSPPYG00000020052,47.3896
ENSGGOG00000025776,ENSPPYG00000017575,45.2736
ENSGGOG00000022216,ENSPPYG00000017786,13.2911
ENSGGOG00000001975,ENSPPYG00000018127,42.061
ENSGGOG00000027938,ENSPPYG00000018585,46.7009
ENSGGOG00000025611,ENSPPYG00000018159,47.3646
ENSGGOG00000023874,ENSPPYG00000020256,49.7537
ENSGGOG00000011493,ENSPPYG00000019035,47.3359
ENSGGOG00000013793,ENSPPYG00000017446,48.3333
ENSGGOG00000003936,ENSPPYG00000018671,48.6022
ENSGGOG00000008999,ENSPPYG00000018983,47.2393
ENSGGOG00000028221,ENSPPYG00000018071,49.217
ENSGGOG00000002459,ENSPPYG00000019882,41.483
ENSGGOG00000025948,ENSPPYG00000019151,47.8632
ENSGGOG00000026036,ENSPPYG00000018759,48.5544
ENSGGOG00000014090,ENSPPYG00000019810,47.7798
ENSGGOG00000009319,ENSPPYG00000019948,47.9452
ENSGGOG00000025032,ENSPPYG00000019031,49.6732
ENSGGOG00000025031,ENSPPYG00000020882,48.3761
ENSGGOG00000003521,ENSPPYG00000020693,48.4127
ENSGGOG00000016027,ENSPPYG00000018133,41.6667
ENSGGOG00000024544,ENSPPYG00000018763,48.893
ENSGGOG00000015649,ENSPPYG00000018377,35.3878
ENSGGOG00000025496,ENSPPYG00000018246,48.9583
ENSGGOG00000027763,ENSPPYG00000020232,46.5721
ENSGGOG00000023753,ENSPPYG00000017575,46.8085
ENSGGOG00000005399,ENSPPYG00000020214,10.186
ENSGGOG00000008159,ENSPPYG00000018127,40.6118
ENSGGOG00000023129,ENSPPYG00000018195,49.0196
ENSGGOG00000028084,ENSPPYG00000017746,50.8772
ENSGGOG00000013971,ENSPPYG00000019576,40.5751
ENSGGOG00000016615,ENSPPYG00000018127,41.4055
ENSGGOG00000022384,ENSPPYG00000019576,41.0011
ENSGGOG00000001916,ENSPPYG00000020136,49.1247
ENSGGOG00000001916,ENSPPYG00000020158,49.1168
ENSGGOG00000022076,ENSPPYG00000019031,47.1014
ENSGGOG00000025770,ENSPPYG00000017746,50.8772
ENSGGOG00000012003,ENSPPYG00000020886,47.2846
ENSGGOG00000008053,ENSPPYG00000017911,47.6821
ENSGGOG00000027522,ENSPPYG00000017575,43.9024
ENSGGOG00000023165,ENSPPYG00000020220,46.9697
ENSGGOG00000026802,ENSPPYG00000019922,47.619
ENSGGOG00000005438,ENSPPYG00000017575,46.7192
ENSGGOG00000026725,ENSPPYG00000020220,46.2963
ENSGGOG00000004553,ENSPPYG00000019862,20.268
ENSGGOG00000022836,ENSPPYG00000020533,48.8095
ENSGGOG00000025345,ENSPPYG00000020350,47.0588
ENSGGOG00000015142,ENSPPYG00000020076,48.5687
ENSGGOG00000023457,ENSPPYG00000020206,27.9365
ENSGGOG00000026883,ENSPPYG00000017694,48.4375
ENSGGOG00000016464,ENSPPYG00000019676,44.8802
ENSGGOG00000023502,ENSPPYG00000019215,48.7179
ENSGGOG00000023273,ENSPPYG00000017428,48.0392
ENSGGOG00000005445,ENSPPYG00000019167,49.0816
ENSGGOG00000028138,ENSPPYG00000020068,51.4286
ENSGGOG00000022059,ENSPPYG00000020236,41.6667
ENSGGOG00000026705,ENSPPYG00000018929,47.2574
ENSGGOG00000025428,ENSPPYG00000019507,49.4257
ENSGGOG00000024763,ENSPPYG00000018685,50.7042
ENSGGOG00000002996,ENSPPYG00000019886,49.1473
ENSGGOG00000024760,ENSPPYG00000018063,46.4912
ENSGGOG00000025793,ENSPPYG00000018133,40.3226
ENSGGOG00000026984,ENSPPYG00000017575,49.0066
ENSGGOG00000022277,ENSPPYG00000019950,47.4227
ENSGGOG00000023618,ENSPPYG00000018333,47.5177
ENSGGOG00000026401,ENSPPYG00000020545,50.7037
ENSGGOG00000024170,ENSPPYG00000020922,46.7949
ENSGGOG00000027150,ENSPPYG00000020232,45.977
ENSGGOG00000002786,ENSPPYG00000018923,48.0896
ENSGGOG00000025754,ENSPPYG00000019233,48.2402
ENSGGOG00000025150,ENSPPYG00000018127,42.7586
ENSGGOG00000026093,ENSPPYG00000019986,28.3925
ENSGGOG00000025498,ENSPPYG00000019355,48.7179
ENSGGOG00000025174,ENSPPYG00000020206,38.6412
ENSGGOG00000025820,ENSPPYG00000019027,46.4539
ENSGGOG00000013791,ENSPPYG00000018069,46.3333
ENSGGOG00000022477,ENSPPYG00000017575,44.1799
ENSGGOG00000016459,ENSPPYG00000020206,42.4145
ENSGGOG00000022659,ENSPPYG00000018135,47.813
ENSGGOG00000006457,ENSPPYG00000019882,44.9954
ENSGGOG00000009949,ENSPPYG00000018523,48.3333
ENSGGOG00000026147,ENSPPYG00000019223,48.9583
ENSGGOG00000003672,ENSPPYG00000019539,47.3485
ENSGGOG00000026982,ENSPPYG00000017655,47.0263
ENSGGOG00000010318,ENSPPYG00000020076,48.6405
ENSGGOG00000022234,ENSPPYG00000020206,42.094
ENSGGOG00000023555,ENSPPYG00000020350,47.8431
ENSGGOG00000026178,ENSPPYG00000019163,48.8636
ENSGGOG00000027179,ENSPPYG00000018435,49.7399
ENSGGOG00000026854,ENSPPYG00000017575,47.7064
ENSGGOG00000001534,ENSPPYG00000019674,48.3974
ENSGGOG00000011084,ENSPPYG00000017575,45.5882
ENSGGOG00000010311,ENSPPYG00000017541,40.0859
ENSGGOG00000013472,ENSPPYG00000018585,48.1175
ENSGGOG00000023266,ENSPPYG00000020206,43.0421
ENSGGOG00000026806,ENSPPYG00000017810,48.3146
ENSGGOG00000024782,ENSPPYG00000017575,43.75
ENSGGOG00000026274,ENSPPYG00000019992,48.8571
ENSGGOG00000008389,ENSPPYG00000018585,47.7318
ENSGGOG00000022111,ENSPPYG00000018981,47.4986
ENSGGOG00000002865,ENSPPYG00000018443,46.7412
ENSGGOG00000012283,ENSPPYG00000020206,42.4816
ENSGGOG00000015878,ENSPPYG00000018133,40.3621
ENSGGOG00000024036,ENSPPYG00000017575,46.3333
ENSGGOG00000023674,ENSPPYG00000017575,45.0617
ENSGGOG00000005307,ENSPPYG00000020206,41.5335
ENSGGOG00000021984,ENSPPYG00000017575,43.9394
ENSGGOG00000028477,ENSPPYG00000019003,47.8261
ENSGGOG00000010632,ENSPPYG00000020128,47.546
ENSGGOG00000014094,ENSPPYG00000019015,48.8095
ENSGGOG00000008903,ENSPPYG00000018567,48.4464
ENSGGOG00000013363,ENSPPYG00000020206,40.4762
ENSGGOG00000026337,ENSPPYG00000020068,49.2754
ENSGGOG00000013687,ENSPPYG00000019712,47.7833
ENSGGOG00000014663,ENSPPYG00000020274,31.2625
ENSGGOG00000026428,ENSPPYG00000017625,48.125
ENSGGOG00000022397,ENSPPYG00000019233,48.0331
ENSGGOG00000000631,ENSPPYG00000019988,49.0331
ENSGGOG00000024328,ENSPPYG00000017446,48.2587
ENSGGOG00000021937,ENSPPYG00000020398,45.7467
ENSGGOG00000007978,ENSPPYG00000020206,43.131
ENSGGOG00000022824,ENSPPYG00000019239,51.6667
ENSGGOG00000024427,ENSPPYG00000020012,48.731
ENSGGOG00000024427,ENSPPYG00000020933,48.3607
ENSGGOG00000022741,ENSPPYG00000018619,50.211
ENSGGOG00000027533,ENSPPYG00000019676,46.3235
ENSGGOG00000027668,ENSPPYG00000020725,49.5283
ENSGGOG00000008829,ENSPPYG00000020224,48.7805
ENSGGOG00000001644,ENSPPYG00000019169,48.8688
ENSGGOG00000025729,ENSPPYG00000018809,49.2568
ENSGGOG00000025034,ENSPPYG00000017575,47.2678
ENSGGOG00000006391,ENSPPYG00000017412,48.1153
ENSGGOG00000000892,ENSPPYG00000020206,41.3206
ENSGGOG00000023932,ENSPPYG00000017575,47.4359
ENSGGOG00000004859,ENSPPYG00000019944,48.8764
ENSGGOG00000024910,ENSPPYG00000017633,47.5845
ENSGGOG00000006847,ENSPPYG00000017466,49.174
ENSGGOG00000028036,ENSPPYG00000017786,12.8205
ENSGGOG00000007745,ENSPPYG00000019880,47.1529
ENSGGOG00000024748,ENSPPYG00000017696,46.3004
ENSGGOG00000004355,ENSPPYG00000018659,48.1013
ENSGGOG00000010314,ENSPPYG00000019958,7.36842
ENSGGOG00000013878,ENSPPYG00000019828,47.4138
ENSGGOG00000028615,ENSPPYG00000019521,48.6979
ENSGGOG00000027642,ENSPPYG00000019810,45.1643
ENSGGOG00000022101,ENSPPYG00000019828,48.0669
ENSGGOG00000009145,ENSPPYG00000020206,43.0057
ENSGGOG00000026002,ENSPPYG00000018073,49.3126
ENSGGOG00000027088,ENSPPYG00000017575,44.7222
ENSGGOG00000009641,ENSPPYG00000019361,46.1353
ENSGGOG00000025909,ENSPPYG00000020551,47.076
ENSGGOG00000026836,ENSPPYG00000017816,28.3438
ENSGGOG00000022478,ENSPPYG00000019930,48.8095
ENSGGOG00000023036,ENSPPYG00000019247,47.893
ENSGGOG00000026607,ENSPPYG00000018619,48.2906
ENSGGOG00000023280,ENSPPYG00000017372,47.3251
ENSGGOG00000024389,ENSPPYG00000018327,48.6455
ENSGGOG00000023206,ENSPPYG00000019602,48.7395
ENSGGOG00000007931,ENSPPYG00000019115,48.5714
ENSGGOG00000006011,ENSPPYG00000019676,45.2229
ENSGGOG00000027630,ENSPPYG00000020791,48.155
ENSGGOG00000028434,ENSPPYG00000020346,47.7064
ENSGGOG00000023401,ENSPPYG00000020667,2.81583
ENSGGOG00000024476,ENSPPYG00000018883,49.2778
ENSGGOG00000015763,ENSPPYG00000020836,48.2988
ENSGGOG00000023705,ENSPPYG00000019882,41.9078
ENSGGOG00000027203,ENSPPYG00000017937,48.4277
ENSGGOG00000026326,ENSPPYG00000017547,7.37913
ENSGGOG00000024107,ENSPPYG00000019247,47.0189
ENSGGOG00000026301,ENSPPYG00000020104,19.2308
ENSGGOG00000011253,ENSPPYG00000020214,44.8127
ENSGGOG00000027673,ENSPPYG00000017539,48.8288
ENSGGOG00000022186,ENSPPYG00000020160,2.7027
ENSGGOG00000005091,ENSPPYG00000018127,43.2015
ENSGGOG00000027439,ENSPPYG00000019115,49.7009
ENSGGOG00000007934,ENSPPYG00000017547,48.3333
ENSGGOG00000008129,ENSPPYG00000019758,47.8114
ENSGGOG00000005923,ENSPPYG00000019127,30.819
ENSGGOG00000026119,ENSPPYG00000019247,48.5095
ENSGGOG00000026119,ENSPPYG00000017939,49.3379
ENSGGOG00000016198,ENSPPYG00000019127,33.4072
ENSGGOG00000001025,ENSPPYG00000017494,40.7407
ENSGGOG00000012860,ENSPPYG00000019988,47.5646
ENSGGOG00000023985,ENSPPYG00000019357,47.5743
ENSGGOG00000002970,ENSPPYG00000017575,47.5248
ENSGGOG00000022284,ENSPPYG00000020226,34.7003
ENSGGOG00000016996,ENSPPYG00000020470,48.6957
ENSGGOG00000026988,ENSPPYG00000019119,48.0159
ENSGGOG00000025333,ENSPPYG00000019361,46.1382
ENSGGOG00000026696,ENSPPYG00000018527,48.2759
ENSGGOG00000023178,ENSPPYG00000019361,47.5066
ENSGGOG00000025315,ENSPPYG00000019718,47.8522
ENSGGOG00000014370,ENSPPYG00000020886,49.5513
ENSGGOG00000000021,ENSPPYG00000018793,49.2593
ENSGGOG00000022191,ENSPPYG00000020220,49.2424
ENSGGOG00000027346,ENSPPYG00000020090,48
ENSGGOG00000006280,ENSPPYG00000019676,45.614
ENSGGOG00000028328,ENSPPYG00000019958,47.1631
ENSGGOG00000005564,ENSPPYG00000020667,48.4887
ENSGGOG00000005564,ENSPPYG00000019459,47.191
ENSGGOG00000022306,ENSPPYG00000017575,45.641
ENSGGOG00000015560,ENSPPYG00000017923,48.0519
ENSGGOG00000022979,ENSPPYG00000018127,41.6746
ENSGGOG00000027699,ENSPPYG00000019946,45.9016
ENSGGOG00000013986,ENSPPYG00000019081,48.4211
ENSGGOG00000010879,ENSPPYG00000019810,43.0556
ENSGGOG00000024004,ENSPPYG00000019758,48.3616
ENSGGOG00000025544,ENSPPYG00000019261,49.3034
ENSGGOG00000024012,ENSPPYG00000020110,49.5238
ENSGGOG00000025499,ENSPPYG00000019758,48.3616
ENSGGOG00000007410,ENSPPYG00000019816,1.21655
ENSGGOG00000025078,ENSPPYG00000020571,49.0991
ENSGGOG00000003070,ENSPPYG00000017716,49.097
ENSGGOG00000006778,ENSPPYG00000019576,37.0607
ENSGGOG00000024535,ENSPPYG00000019882,38.0042
ENSGGOG00000023691,ENSPPYG00000019818,1.65394
ENSGGOG00000012730,ENSPPYG00000019576,35.0373
ENSGGOG00000023355,ENSPPYG00000018919,46.2287
ENSGGOG00000027715,ENSPPYG00000019992,43.6433
ENSGGOG00000022738,ENSPPYG00000018665,47.7961
ENSGGOG00000025565,ENSPPYG00000017470,46.6667
ENSGGOG00000023211,ENSPPYG00000019576,43.7427
ENSGGOG00000021980,ENSPPYG00000020346,49.3464
ENSGGOG00000025061,ENSPPYG00000017810,49.6667
ENSGGOG00000027494,ENSPPYG00000020358,44.9553
ENSGGOG00000025519,ENSPPYG00000019576,43.1894
ENSGGOG00000010502,ENSPPYG00000019576,35.7827
ENSGGOG00000006919,ENSPPYG00000018503,46.6667
ENSGGOG00000014837,ENSPPYG00000019736,48.8326
ENSGGOG00000024466,ENSPPYG00000020158,48.9796
ENSGGOG00000021950,ENSPPYG00000017575,45.7364
ENSGGOG00000025802,ENSPPYG00000018133,42.2581
ENSGGOG00000022374,ENSPPYG00000019950,48.9583
ENSGGOG00000022092,ENSPPYG00000020012,49.7436
ENSGGOG00000011805,ENSPPYG00000017575,46.7172
ENSGGOG00000025306,ENSPPYG00000019059,48.4375
ENSGGOG00000023220,ENSPPYG00000019882,40.836
ENSGGOG00000021960,ENSPPYG00000017575,43.4568
ENSGGOG00000021941,ENSPPYG00000019059,48.4375
ENSGGOG00000022153,ENSPPYG00000018819,49.0706
ENSGGOG00000027204,ENSPPYG00000019882,40.7527
ENSGGOG00000022746,ENSPPYG00000019539,49.2593
ENSGGOG00000024666,ENSPPYG00000018447,48.9796
ENSGGOG00000026776,ENSPPYG00000019668,49.3857
ENSGGOG00000022724,ENSPPYG00000017372,47.9452
ENSGGOG00000002520,ENSPPYG00000017810,47.191
ENSGGOG00000004973,ENSPPYG00000018921,48.4848
ENSGGOG00000028587,ENSPPYG00000018133,38.3387
ENSGGOG00000004548,ENSPPYG00000017575,46.1538
ENSGGOG00000006205,ENSPPYG00000019960,48.6239
ENSGGOG00000010812,ENSPPYG00000019988,47.3863
ENSGGOG00000024658,ENSPPYG00000017619,48.8095
ENSGGOG00000010225,ENSPPYG00000018165,48.6856
ENSGGOG00000004545,ENSPPYG00000020322,45.3245
ENSGGOG00000022860,ENSPPYG00000017575,46.8013
ENSGGOG00000000518,ENSPPYG00000019576,36.6347
ENSGGOG00000024643,ENSPPYG00000019882,30.1788
ENSGGOG00000009528,ENSPPYG00000020258,47.0558
ENSGGOG00000024511,ENSPPYG00000019950,47.7273
ENSGGOG00000003704,ENSPPYG00000019169,46.1538
ENSGGOG00000027920,ENSPPYG00000019433,48.6642
ENSGGOG00000011768,ENSPPYG00000020583,48.5185
ENSGGOG00000025434,ENSPPYG00000019361,44.7853
ENSGGOG00000007457,ENSPPYG00000019988,48.0475
ENSGGOG00000026665,ENSPPYG00000017575,44.7154
ENSGGOG00000022772,ENSPPYG00000020012,48.4674
ENSGGOG00000002162,ENSPPYG00000019958,46.9697
ENSGGOG00000008076,ENSPPYG00000020012,48.4674
ENSGGOG00000026995,ENSPPYG00000018248,48.4444
ENSGGOG00000027361,ENSPPYG00000020268,42.6316
ENSGGOG00000028250,ENSPPYG00000019223,4.30108
ENSGGOG00000007180,ENSPPYG00000017575,45.4106
ENSGGOG00000024305,ENSPPYG00000019343,50
ENSGGOG00000011166,ENSPPYG00000018201,48.3333
ENSGGOG00000007494,ENSPPYG00000018373,48.5766
ENSGGOG00000025125,ENSPPYG00000017923,48.4018
ENSGGOG00000023034,ENSPPYG00000017575,47.3563
ENSGGOG00000022745,ENSPPYG00000020583,49.5336
ENSGGOG00000026638,ENSPPYG00000019215,46.5686
ENSGGOG00000022322,ENSPPYG00000018321,7.86749
ENSGGOG00000014163,ENSPPYG00000019481,45.5714
ENSGGOG00000023554,ENSPPYG00000019511,49.2003
ENSGGOG00000027877,ENSPPYG00000019031,47.1014
ENSGGOG00000022246,ENSPPYG00000018317,49.7585
ENSGGOG00000027695,ENSPPYG00000017575,46.9136
ENSGGOG00000013644,ENSPPYG00000020052,48.3539
ENSGGOG00000014404,ENSPPYG00000020593,40.1515
ENSGGOG00000025789,ENSPPYG00000019770,48.5228
ENSGGOG00000022008,ENSPPYG00000018719,51.3889
ENSGGOG00000025267,ENSPPYG00000020739,47.3251
ENSGGOG00000026980,ENSPPYG00000020000,48.6667
ENSGGOG00000024285,ENSPPYG00000019726,48.1752
ENSGGOG00000027842,ENSPPYG00000019483,49.1713
ENSGGOG00000015668,ENSPPYG00000019810,46.2521
ENSGGOG00000001808,ENSPPYG00000019574,43.5103
ENSGGOG00000025118,ENSPPYG00000017712,49.1342
ENSGGOG00000025513,ENSPPYG00000017786,13.8004
ENSGGOG00000028277,ENSPPYG00000020890,48.7143
ENSGGOG00000028422,ENSPPYG00000020643,4.44444
ENSGGOG00000001406,ENSPPYG00000019119,47.8548
ENSGGOG00000000497,ENSPPYG00000019580,44.5267
ENSGGOG00000022666,ENSPPYG00000020148,47.6621
ENSGGOG00000027546,ENSPPYG00000018429,48.3364
ENSGGOG00000025336,ENSPPYG00000020030,48.4127
ENSGGOG00000028558,ENSPPYG00000017575,46.3127
ENSGGOG00000014253,ENSPPYG00000019481,44.2846
ENSGGOG00000000681,ENSPPYG00000020278,48.4211
ENSGGOG00000016153,ENSPPYG00000019676,48.9744
ENSGGOG00000024086,ENSPPYG00000020040,5.67376
ENSGGOG00000023794,ENSPPYG00000020643,27.3504
ENSGGOG00000026635,ENSPPYG00000019882,43.557
ENSGGOG00000025346,ENSPPYG00000017575,46.0526
ENSGGOG00000009956,ENSPPYG00000019027,47.7124
ENSGGOG00000006514,ENSPPYG00000020206,42.5397
ENSGGOG00000013018,ENSPPYG00000018981,47.3304
ENSGGOG00000005412,ENSPPYG00000019247,48.2014
ENSGGOG00000005412,ENSPPYG00000017442,48.4018
ENSGGOG00000026910,ENSPPYG00000020264,49.8742
ENSGGOG00000003668,ENSPPYG00000020721,44.2639
ENSGGOG00000022485,ENSPPYG00000019576,46.6667
ENSGGOG00000005784,ENSPPYG00000020294,2.10526
ENSGGOG00000023893,ENSPPYG00000018871,49.6021
ENSGGOG00000028350,ENSPPYG00000020110,47.8788
ENSGGOG00000014569,ENSPPYG00000019810,45.5652
ENSGGOG00000026592,ENSPPYG00000017575,45.6693
ENSGGOG00000003154,ENSPPYG00000017575,48.6667
ENSGGOG00000028291,ENSPPYG00000017935,48.6395
ENSGGOG00000022031,ENSPPYG00000020206,42.6955
ENSGGOG00000023035,ENSPPYG00000020232,43.0025
ENSGGOG00000014406,ENSPPYG00000020076,46.7078
ENSGGOG00000014406,ENSPPYG00000019768,46.6241
ENSGGOG00000006911,ENSPPYG00000019882,42.4731
ENSGGOG00000027852,ENSPPYG00000020206,40.8805
ENSGGOG00000023804,ENSPPYG00000020202,48.6355
ENSGGOG00000008579,ENSPPYG00000018127,40.5025
ENSGGOG00000013440,ENSPPYG00000020206,45.5685
ENSGGOG00000008958,ENSPPYG00000020825,48.3478
ENSGGOG00000026559,ENSPPYG00000019151,48.3516
ENSGGOG00000014514,ENSPPYG00000020206,44.7183
ENSGGOG00000002469,ENSPPYG00000018023,47.032
ENSGGOG00000005409,ENSPPYG00000018165,48.2245
ENSGGOG00000027148,ENSPPYG00000018201,48.6339
ENSGGOG00000026645,ENSPPYG00000020206,27.1762
ENSGGOG00000027081,ENSPPYG00000019576,35.4497
ENSGGOG00000024582,ENSPPYG00000019986,20.2299
ENSGGOG00000013989,ENSPPYG00000020206,42.0782
ENSGGOG00000024500,ENSPPYG00000020924,47.7633
ENSGGOG00000027690,ENSPPYG00000020206,40
ENSGGOG00000028425,ENSPPYG00000019946,33.5391
ENSGGOG00000003079,ENSPPYG00000019624,48.329
ENSGGOG00000003079,ENSPPYG00000020870,48.6937
ENSGGOG00000024875,ENSPPYG00000019576,35.2381
ENSGGOG00000024975,ENSPPYG00000020206,44.0376
ENSGGOG00000028542,ENSPPYG00000017575,45.2599
ENSGGOG00000027571,ENSPPYG00000017575,44.8
ENSGGOG00000004206,ENSPPYG00000020487,2.22646
ENSGGOG00000015406,ENSPPYG00000020884,48
ENSGGOG00000010518,ENSPPYG00000019576,38.7164
ENSGGOG00000010094,ENSPPYG00000020206,37.037
ENSGGOG00000023930,ENSPPYG00000018127,21.1849
ENSGGOG00000026188,ENSPPYG00000020206,37.8882
ENSGGOG00000000006,ENSPPYG00000020721,47.9899
ENSGGOG00000026669,ENSPPYG00000020939,50
ENSGGOG00000025594,ENSPPYG00000019539,46.4419
ENSGGOG00000025535,ENSPPYG00000017575,46.0317
ENSGGOG00000028008,ENSPPYG00000018719,51.3889
ENSGGOG00000023899,ENSPPYG00000019207,49.3425
ENSGGOG00000001522,ENSPPYG00000019113,48.2385
ENSGGOG00000009018,ENSPPYG00000018975,48.6339
ENSGGOG00000016685,ENSPPYG00000017955,48.3108
ENSGGOG00000024097,ENSPPYG00000019986,11.5486
ENSGGOG00000011276,ENSPPYG00000019760,46.8013
ENSGGOG00000027343,ENSPPYG00000017575,47.1471
ENSGGOG00000025478,ENSPPYG00000017575,44.8485
ENSGGOG00000015599,ENSPPYG00000018165,47.099
ENSGGOG00000028346,ENSPPYG00000018127,4.92662
ENSGGOG00000022969,ENSPPYG00000019511,32.9308
ENSGGOG00000026029,ENSPPYG00000019950,49.505
ENSGGOG00000002638,ENSPPYG00000020052,45.4338
ENSGGOG00000002638,ENSPPYG00000017561,47.8723
ENSGGOG00000026525,ENSPPYG00000017575,47.0405
ENSGGOG00000009648,ENSPPYG00000020601,48.8601
ENSGGOG00000024951,ENSPPYG00000019511,48.5117
ENSGGOG00000027115,ENSPPYG00000019247,50.1186
ENSGGOG00000009913,ENSPPYG00000020631,49.5307
ENSGGOG00000026967,ENSPPYG00000019247,48.9717
ENSGGOG00000013430,ENSPPYG00000019778,48.1081
ENSGGOG00000012231,ENSPPYG00000019842,46.748
ENSGGOG00000023969,ENSPPYG00000017774,2.43902
ENSGGOG00000022789,ENSPPYG00000019511,35.6098
ENSGGOG00000025200,ENSPPYG00000018127,34.7448
ENSGGOG00000028225,ENSPPYG00000019856,49.4048
ENSGGOG00000023904,ENSPPYG00000019303,14.8635
ENSGGOG00000012517,ENSPPYG00000019257,49.369
ENSGGOG00000015821,ENSPPYG00000018133,43.4575
ENSGGOG00000000889,ENSPPYG00000019389,47.8708
ENSGGOG00000000889,ENSPPYG00000018981,48.2798
ENSGGOG00000014141,ENSPPYG00000020607,49.2622
ENSGGOG00000025927,ENSPPYG00000019836,49.2938
ENSGGOG00000027411,ENSPPYG00000020236,6.09319
ENSGGOG00000026577,ENSPPYG00000019774,47.6528
ENSGGOG00000012346,ENSPPYG00000019614,46.8632
ENSGGOG00000025580,ENSPPYG00000017810,46.8864
ENSGGOG00000021949,ENSPPYG00000020527,49.9145
ENSGGOG00000022804,ENSPPYG00000017537,43.038
ENSGGOG00000009780,ENSPPYG00000017541,38.8786
ENSGGOG00000024722,ENSPPYG00000019986,45.5172
ENSGGOG00000022900,ENSPPYG00000017575,47.1471
ENSGGOG00000024936,ENSPPYG00000018133,21.1973
ENSGGOG00000027737,ENSPPYG00000020258,47.2172
ENSGGOG00000028389,ENSPPYG00000019988,47.3751
ENSGGOG00000022491,ENSPPYG00000019479,18.239
ENSGGOG00000023369,ENSPPYG00000020890,46.9291
ENSGGOG00000026367,ENSPPYG00000017559,47.2868
ENSGGOG00000025363,ENSPPYG00000018691,49.5342
ENSGGOG00000002110,ENSPPYG00000020753,47.3765
ENSGGOG00000011755,ENSPPYG00000017985,47.7727
ENSGGOG00000011755,ENSPPYG00000017985,47.6061
ENSGGOG00000011755,ENSPPYG00000020880,47.3944
ENSGGOG00000028290,ENSPPYG00000018317,48.6486
ENSGGOG00000025516,ENSPPYG00000019638,48.062
ENSGGOG00000027405,ENSPPYG00000018339,48.2955
ENSGGOG00000022014,ENSPPYG00000020705,48.9362
ENSGGOG00000022783,ENSPPYG00000018713,51.2077
ENSGGOG00000002620,ENSPPYG00000018133,34.1223
ENSGGOG00000027130,ENSPPYG00000017635,49.6485
ENSGGOG00000001194,ENSPPYG00000019810,46.0506
ENSGGOG00000026718,ENSPPYG00000018985,49.2553
ENSGGOG00000026190,ENSPPYG00000019908,48.6726
ENSGGOG00000007391,ENSPPYG00000020258,48.2124
ENSGGOG00000013741,ENSPPYG00000018919,47.3251
ENSGGOG00000023689,ENSPPYG00000017690,21.8391
ENSGGOG00000014185,ENSPPYG00000017575,46.6077
ENSGGOG00000028518,ENSPPYG00000019511,50.3268
ENSGGOG00000023316,ENSPPYG00000018699,48.3748
ENSGGOG00000027814,ENSPPYG00000018405,49.3819
ENSGGOG00000006852,ENSPPYG00000020547,49.087
ENSGGOG00000022517,ENSPPYG00000017754,44.8664
ENSGGOG00000023208,ENSPPYG00000020767,48.3146
ENSGGOG00000012303,ENSPPYG00000020489,48.5574
ENSGGOG00000009215,ENSPPYG00000020856,47.4603
ENSGGOG00000028154,ENSPPYG00000019107,49.3363
ENSGGOG00000026143,ENSPPYG00000017575,44.5333
ENSGGOG00000026263,ENSPPYG00000017575,44.8529
ENSGGOG00000022261,ENSPPYG00000019165,47.7876
ENSGGOG00000023915,ENSPPYG00000019838,47.4638
ENSGGOG00000024310,ENSPPYG00000019988,48.6449
ENSGGOG00000026504,ENSPPYG00000018248,48.0392
ENSGGOG00000026826,ENSPPYG00000018317,44.4444
ENSGGOG00000027109,ENSPPYG00000017382,46.3918
ENSGGOG00000028402,ENSPPYG00000018595,48.1675
ENSGGOG00000023053,ENSPPYG00000019247,48.7973
ENSGGOG00000009931,ENSPPYG00000020864,48.254
ENSGGOG00000026459,ENSPPYG00000018919,47.7833
ENSGGOG00000025412,ENSPPYG00000018793,47.8723
ENSGGOG00000010485,ENSPPYG00000017953,48.9443
ENSGGOG00000026154,ENSPPYG00000020687,49.8344
ENSGGOG00000001435,ENSPPYG00000019357,48.605
ENSGGOG00000026871,ENSPPYG00000018033,34.8611
ENSGGOG00000003587,ENSPPYG00000019770,46.4652
