gorilla_gorilla,pan_troglodytes
ENSGGOG00000007207,ENSPTRG00000041382,46.2674
ENSGGOG00000027219,ENSPTRG00000013842,50.1873
ENSGGOG00000027285,ENSPTRG00000041651,47.8708
ENSGGOG00000011937,ENSPTRG00000003320,44.9735
ENSGGOG00000024538,ENSPTRG00000032588,48.452
ENSGGOG00000024674,ENSPTRG00000007626,46.003
ENSGGOG00000025955,ENSPTRG00000005728,0.621118
ENSGGOG00000011821,ENSPTRG00000004015,49.3213
ENSGGOG00000024341,ENSPTRG00000020013,49.7684
ENSGGOG00000011818,ENSPTRG00000007677,44.6517
ENSGGOG00000013729,ENSPTRG00000032576,46.9697
ENSGGOG00000001157,ENSPTRG00000003141,48.6355
ENSGGOG00000023396,ENSPTRG00000013839,52.8986
ENSGGOG00000022876,ENSPTRG00000003320,45.3968
ENSGGOG00000027003,ENSPTRG00000028745,42.1325
ENSGGOG00000023322,ENSPTRG00000042298,47.3016
ENSGGOG00000026796,ENSPTRG00000040155,45.122
ENSGGOG00000012168,ENSPTRG00000039924,47.7663
ENSGGOG00000025217,ENSPTRG00000034312,49.6695
ENSGGOG00000023975,ENSPTRG00000039826,48.9583
ENSGGOG00000009136,ENSPTRG00000028850,49.0196
ENSGGOG00000027478,ENSPTRG00000009822,49.0132
ENSGGOG00000027924,ENSPTRG00000041209,49.3902
ENSGGOG00000025102,ENSPTRG00000041916,51.2077
ENSGGOG00000026642,ENSPTRG00000034369,49.2424
ENSGGOG00000023150,ENSPTRG00000013842,48.0702
ENSGGOG00000022801,ENSPTRG00000028321,47.992
ENSGGOG00000025776,ENSPTRG00000017006,49.005
ENSGGOG00000022216,ENSPTRG00000000124,49.3671
ENSGGOG00000001975,ENSPTRG00000003320,43.3228
ENSGGOG00000027938,ENSPTRG00000003128,46.2725
ENSGGOG00000025611,ENSPTRG00000007607,47.6574
ENSGGOG00000023874,ENSPTRG00000018954,50.1478
ENSGGOG00000011493,ENSPTRG00000014077,47.9537
ENSGGOG00000013793,ENSPTRG00000028321,48.5185
ENSGGOG00000003936,ENSPTRG00000034337,49.3548
ENSGGOG00000008999,ENSPTRG00000003184,47.4438
ENSGGOG00000028221,ENSPTRG00000029472,49.1051
ENSGGOG00000002459,ENSPTRG00000003320,41.6834
ENSGGOG00000025948,ENSPTRG00000028611,47.4359
ENSGGOG00000026036,ENSPTRG00000017066,48.7245
ENSGGOG00000014090,ENSPTRG00000033843,47.4245
ENSGGOG00000009319,ENSPTRG00000042077,48.6301
ENSGGOG00000025032,ENSPTRG00000013839,47.7124
ENSGGOG00000025031,ENSPTRG00000039924,47.6923
ENSGGOG00000003521,ENSPTRG00000040425,34.3537
ENSGGOG00000016027,ENSPTRG00000003320,43.3943
ENSGGOG00000024544,ENSPTRG00000017013,27.1218
ENSGGOG00000015649,ENSPTRG00000018996,48.7535
ENSGGOG00000025496,ENSPTRG00000029512,51.0417
ENSGGOG00000027763,ENSPTRG00000042077,49.8818
ENSGGOG00000023753,ENSPTRG00000042298,48.9362
ENSGGOG00000005399,ENSPTRG00000009856,49.3357
ENSGGOG00000008159,ENSPTRG00000003320,42.827
ENSGGOG00000023129,ENSPTRG00000019141,48.6928
ENSGGOG00000028084,ENSPTRG00000041367,46.7836
ENSGGOG00000013971,ENSPTRG00000028728,46.2194
ENSGGOG00000016615,ENSPTRG00000003320,41.5005
ENSGGOG00000022384,ENSPTRG00000003318,44.3024
ENSGGOG00000001916,ENSPTRG00000021781,48.5942
ENSGGOG00000001916,ENSPTRG00000004550,49.2308
ENSGGOG00000022076,ENSPTRG00000013839,52.1739
ENSGGOG00000025770,ENSPTRG00000041367,46.7836
ENSGGOG00000012003,ENSPTRG00000007564,46.9949
ENSGGOG00000008053,ENSPTRG00000021853,49.0066
ENSGGOG00000027522,ENSPTRG00000022785,50.4065
ENSGGOG00000023165,ENSPTRG00000040941,51.5152
ENSGGOG00000026802,ENSPTRG00000019953,47.619
ENSGGOG00000005438,ENSPTRG00000042089,48.5564
ENSGGOG00000026725,ENSPTRG00000019953,47.2222
ENSGGOG00000004553,ENSPTRG00000034469,40.201
ENSGGOG00000022836,ENSPTRG00000041011,50.5952
ENSGGOG00000025345,ENSPTRG00000013842,16.0784
ENSGGOG00000015142,ENSPTRG00000003118,48.5201
ENSGGOG00000023457,ENSPTRG00000003229,27.4074
ENSGGOG00000026883,ENSPTRG00000028321,48.6111
ENSGGOG00000016464,ENSPTRG00000039081,47.4946
ENSGGOG00000023502,ENSPTRG00000040333,50.2564
ENSGGOG00000023273,ENSPTRG00000042298,49.0196
ENSGGOG00000005445,ENSPTRG00000009822,49.1837
ENSGGOG00000028138,ENSPTRG00000040442,50.4762
ENSGGOG00000022059,ENSPTRG00000028792,48.4496
ENSGGOG00000026705,ENSPTRG00000034154,48.3122
ENSGGOG00000025428,ENSPTRG00000018889,48.9505
ENSGGOG00000024763,ENSPTRG00000041011,49.7653
ENSGGOG00000002996,ENSPTRG00000028731,48.3721
ENSGGOG00000024760,ENSPTRG00000017052,49.3421
ENSGGOG00000025793,ENSPTRG00000028728,46.129
ENSGGOG00000026984,ENSPTRG00000021851,49.6689
ENSGGOG00000022277,ENSPTRG00000005670,48.11
ENSGGOG00000023618,ENSPTRG00000019953,48.227
ENSGGOG00000026401,ENSPTRG00000018931,50.4574
ENSGGOG00000024170,ENSPTRG00000041916,51.2821
ENSGGOG00000027150,ENSPTRG00000034369,49.4253
ENSGGOG00000002786,ENSPTRG00000014125,47.6943
ENSGGOG00000025754,ENSPTRG00000005728,3.31263
ENSGGOG00000025150,ENSPTRG00000003320,42.266
ENSGGOG00000026093,ENSPTRG00000028321,49.2693
ENSGGOG00000025498,ENSPTRG00000005670,50.1832
ENSGGOG00000025174,ENSPTRG00000003249,38.535
ENSGGOG00000025820,ENSPTRG00000007626,45.0355
ENSGGOG00000013791,ENSPTRG00000013897,50
ENSGGOG00000022477,ENSPTRG00000034369,49.2063
ENSGGOG00000016459,ENSPTRG00000028728,36.3248
ENSGGOG00000022659,ENSPTRG00000000276,49.0196
ENSGGOG00000006457,ENSPTRG00000003318,42.8834
ENSGGOG00000009949,ENSPTRG00000017018,49.2308
ENSGGOG00000026147,ENSPTRG00000021728,47.2222
ENSGGOG00000003672,ENSPTRG00000028290,47.7273
ENSGGOG00000026982,ENSPTRG00000041256,48.5477
ENSGGOG00000010318,ENSPTRG00000003118,48.1873
ENSGGOG00000022234,ENSPTRG00000028728,30.8761
ENSGGOG00000023555,ENSPTRG00000003182,49.0196
ENSGGOG00000026178,ENSPTRG00000034307,47.7273
ENSGGOG00000027179,ENSPTRG00000017010,49.422
ENSGGOG00000026854,ENSPTRG00000034369,48.318
ENSGGOG00000001534,ENSPTRG00000020074,48.5348
ENSGGOG00000011084,ENSPTRG00000042089,49.0196
ENSGGOG00000010311,ENSPTRG00000009893,37.8146
ENSGGOG00000013472,ENSPTRG00000028745,48.7603
ENSGGOG00000023266,ENSPTRG00000028728,33.3333
ENSGGOG00000026806,ENSPTRG00000028290,49.0637
ENSGGOG00000024782,ENSPTRG00000040862,50
ENSGGOG00000026274,ENSPTRG00000016949,48.8571
ENSGGOG00000008389,ENSPTRG00000000207,48.4221
ENSGGOG00000022111,ENSPTRG00000000017,47.211
ENSGGOG00000002865,ENSPTRG00000029528,46.5549
ENSGGOG00000012283,ENSPTRG00000028728,39.6425
ENSGGOG00000015878,ENSPTRG00000003320,45.1544
ENSGGOG00000024036,ENSPTRG00000034307,49
ENSGGOG00000023674,ENSPTRG00000013904,49.3827
ENSGGOG00000005307,ENSPTRG00000028728,39.9361
ENSGGOG00000021984,ENSPTRG00000040289,47.5758
ENSGGOG00000028477,ENSPTRG00000005728,2.27743
ENSGGOG00000010632,ENSPTRG00000028817,48.9264
ENSGGOG00000014094,ENSPTRG00000028810,48.6395
ENSGGOG00000008903,ENSPTRG00000013791,49.305
ENSGGOG00000013363,ENSPTRG00000003245,38.4058
ENSGGOG00000026337,ENSPTRG00000041916,50.2415
ENSGGOG00000013687,ENSPTRG00000007626,47.1264
ENSGGOG00000014663,ENSPTRG00000033888,46.7602
ENSGGOG00000026428,ENSPTRG00000005728,2.91667
ENSGGOG00000022397,ENSPTRG00000005728,2.27743
ENSGGOG00000000631,ENSPTRG00000019935,49.2403
ENSGGOG00000024328,ENSPTRG00000031327,48.2587
ENSGGOG00000021937,ENSPTRG00000034402,49.0233
ENSGGOG00000007978,ENSPTRG00000003245,30.6709
ENSGGOG00000022824,ENSPTRG00000013839,50
ENSGGOG00000024427,ENSPTRG00000028321,46.5313
ENSGGOG00000024427,ENSPTRG00000014062,46.7213
ENSGGOG00000022741,ENSPTRG00000031029,49.3671
ENSGGOG00000027533,ENSPTRG00000014062,46.5686
ENSGGOG00000027668,ENSPTRG00000031254,49.8428
ENSGGOG00000008829,ENSPTRG00000032588,48.6179
ENSGGOG00000001644,ENSPTRG00000028731,49.0196
ENSGGOG00000025729,ENSPTRG00000013786,48.8439
ENSGGOG00000025034,ENSPTRG00000031042,48.9071
ENSGGOG00000006391,ENSPTRG00000042077,47.6718
ENSGGOG00000000892,ENSPTRG00000003245,28.2215
ENSGGOG00000023932,ENSPTRG00000039529,47.7564
ENSGGOG00000004859,ENSPTRG00000019135,48.8764
ENSGGOG00000024910,ENSPTRG00000018954,50
ENSGGOG00000006847,ENSPTRG00000028783,48.2021
ENSGGOG00000028036,ENSPTRG00000039081,49.359
ENSGGOG00000007745,ENSPTRG00000007641,47.1139
ENSGGOG00000024748,ENSPTRG00000003184,45.641
ENSGGOG00000004355,ENSPTRG00000017695,47.6793
ENSGGOG00000010314,ENSPTRG00000005670,48.4211
ENSGGOG00000013878,ENSPTRG00000039445,45.936
ENSGGOG00000028615,ENSPTRG00000014062,48.1771
ENSGGOG00000027642,ENSPTRG00000040153,44.9765
ENSGGOG00000022101,ENSPTRG00000007547,48.5893
ENSGGOG00000009145,ENSPTRG00000023556,41.4934
ENSGGOG00000026002,ENSPTRG00000003249,49.3126
ENSGGOG00000027088,ENSPTRG00000040862,49.4444
ENSGGOG00000009641,ENSPTRG00000003172,46.6184
ENSGGOG00000025909,ENSPTRG00000034369,47.9532
ENSGGOG00000026836,ENSPTRG00000023210,48.7002
ENSGGOG00000022478,ENSPTRG00000034221,50.3968
ENSGGOG00000023036,ENSPTRG00000041382,48.4603
ENSGGOG00000026607,ENSPTRG00000040155,47.0085
ENSGGOG00000023280,ENSPTRG00000013918,48.9712
ENSGGOG00000024389,ENSPTRG00000031433,48.7633
ENSGGOG00000023206,ENSPTRG00000007606,48.1513
ENSGGOG00000007931,ENSPTRG00000016709,48.5222
ENSGGOG00000006011,ENSPTRG00000031314,47.1338
ENSGGOG00000027630,ENSPTRG00000040033,50.1845
ENSGGOG00000028434,ENSPTRG00000042377,46.1774
ENSGGOG00000023401,ENSPTRG00000039529,48.7062
ENSGGOG00000024476,ENSPTRG00000020011,49.8726
ENSGGOG00000015763,ENSPTRG00000000041,48.1509
ENSGGOG00000023705,ENSPTRG00000003320,43.5155
ENSGGOG00000027203,ENSPTRG00000016687,48.9308
ENSGGOG00000026326,ENSPTRG00000021728,49.6183
ENSGGOG00000024107,ENSPTRG00000039778,49.434
ENSGGOG00000026301,ENSPTRG00000019963,49.7863
ENSGGOG00000011253,ENSPTRG00000021763,46.4697
ENSGGOG00000027673,ENSPTRG00000028731,49.5495
ENSGGOG00000022186,ENSPTRG00000030816,50
ENSGGOG00000005091,ENSPTRG00000003320,41.8515
ENSGGOG00000027439,ENSPTRG00000014636,48.6424
ENSGGOG00000007934,ENSPTRG00000031446,49.5833
ENSGGOG00000008129,ENSPTRG00000042086,48.9338
ENSGGOG00000005923,ENSPTRG00000003126,46.8391
ENSGGOG00000026119,ENSPTRG00000009859,49.0515
ENSGGOG00000026119,ENSPTRG00000021842,48.6471
ENSGGOG00000016198,ENSPTRG00000014049,47.3762
ENSGGOG00000001025,ENSPTRG00000034469,49.1852
ENSGGOG00000012860,ENSPTRG00000042230,47.745
ENSGGOG00000023985,ENSPTRG00000000081,47.8873
ENSGGOG00000002970,ENSPTRG00000000029,48.1848
ENSGGOG00000022284,ENSPTRG00000018954,49.0011
ENSGGOG00000016996,ENSPTRG00000020011,49.0821
ENSGGOG00000026988,ENSPTRG00000014157,45.6349
ENSGGOG00000025333,ENSPTRG00000031328,47.7642
ENSGGOG00000026696,ENSPTRG00000021853,48.0204
ENSGGOG00000023178,ENSPTRG00000028794,50.1312
ENSGGOG00000025315,ENSPTRG00000028736,48.3677
ENSGGOG00000014370,ENSPTRG00000000130,49.7436
ENSGGOG00000000021,ENSPTRG00000031029,48.8889
ENSGGOG00000022191,ENSPTRG00000019953,46.9697
ENSGGOG00000027346,ENSPTRG00000031024,49.7143
ENSGGOG00000006280,ENSPTRG00000042236,48.1203
ENSGGOG00000028328,ENSPTRG00000003182,46.0993
ENSGGOG00000005564,ENSPTRG00000013870,48.2958
ENSGGOG00000005564,ENSPTRG00000034312,48.8764
ENSGGOG00000022306,ENSPTRG00000022785,48.7179
ENSGGOG00000015560,ENSPTRG00000038649,50.2165
ENSGGOG00000022979,ENSPTRG00000003320,41.4843
ENSGGOG00000027699,ENSPTRG00000031314,47.7231
ENSGGOG00000013986,ENSPTRG00000031314,49.1228
ENSGGOG00000010879,ENSPTRG00000033843,44.7712
ENSGGOG00000024004,ENSPTRG00000029472,49.1525
ENSGGOG00000025544,ENSPTRG00000000041,49.226
ENSGGOG00000024012,ENSPTRG00000003182,49.5238
ENSGGOG00000025499,ENSPTRG00000029472,49.1525
ENSGGOG00000007410,ENSPTRG00000042077,47.9319
ENSGGOG00000025078,ENSPTRG00000040155,49.0991
ENSGGOG00000003070,ENSPTRG00000009853,48.383
ENSGGOG00000006778,ENSPTRG00000003249,45.3674
ENSGGOG00000024535,ENSPTRG00000003320,45.2229
ENSGGOG00000023691,ENSPTRG00000039445,46.3104
ENSGGOG00000012730,ENSPTRG00000028728,45.4739
ENSGGOG00000023355,ENSPTRG00000000085,46.2287
ENSGGOG00000027715,ENSPTRG00000003320,44.9715
ENSGGOG00000022738,ENSPTRG00000007715,48.0716
ENSGGOG00000025565,ENSPTRG00000034369,46.3768
ENSGGOG00000023211,ENSPTRG00000029472,48.7719
ENSGGOG00000021980,ENSPTRG00000021728,49.3464
ENSGGOG00000025061,ENSPTRG00000028290,49
ENSGGOG00000027494,ENSPTRG00000039445,45.7216
ENSGGOG00000025519,ENSPTRG00000022836,46.5116
ENSGGOG00000010502,ENSPTRG00000003320,45.4739
ENSGGOG00000006919,ENSPTRG00000039924,48.3761
ENSGGOG00000014837,ENSPTRG00000014642,48.3182
ENSGGOG00000024466,ENSPTRG00000021702,49.1033
ENSGGOG00000021950,ENSPTRG00000042089,48.062
ENSGGOG00000025802,ENSPTRG00000003320,46.4516
ENSGGOG00000022374,ENSPTRG00000021728,47.2222
ENSGGOG00000022092,ENSPTRG00000039973,50.0855
ENSGGOG00000011805,ENSPTRG00000039826,48.7374
ENSGGOG00000025306,ENSPTRG00000041367,50
ENSGGOG00000023220,ENSPTRG00000003318,45.0161
ENSGGOG00000021960,ENSPTRG00000042077,50.6173
ENSGGOG00000021941,ENSPTRG00000041367,50
ENSGGOG00000022153,ENSPTRG00000019120,49.1768
ENSGGOG00000027204,ENSPTRG00000003245,44.5161
ENSGGOG00000022746,ENSPTRG00000013918,48.5185
ENSGGOG00000024666,ENSPTRG00000017023,49.0136
ENSGGOG00000026776,ENSPTRG00000016673,49.0418
ENSGGOG00000022724,ENSPTRG00000039053,47.4886
ENSGGOG00000002520,ENSPTRG00000028290,47.191
ENSGGOG00000004973,ENSPTRG00000003174,48.4848
ENSGGOG00000028587,ENSPTRG00000003249,46.2194
ENSGGOG00000004548,ENSPTRG00000034369,48.433
ENSGGOG00000006205,ENSPTRG00000013921,48.6239
ENSGGOG00000010812,ENSPTRG00000003140,6.04209
ENSGGOG00000024658,ENSPTRG00000028817,49.2063
ENSGGOG00000010225,ENSPTRG00000007589,48.265
ENSGGOG00000004545,ENSPTRG00000004015,45.8746
ENSGGOG00000022860,ENSPTRG00000028815,47.4747
ENSGGOG00000000518,ENSPTRG00000003320,45.0479
ENSGGOG00000024643,ENSPTRG00000003320,43.1125
ENSGGOG00000009528,ENSPTRG00000000031,46.6942
ENSGGOG00000024511,ENSPTRG00000005670,46.2121
ENSGGOG00000003704,ENSPTRG00000007626,44.9472
ENSGGOG00000027920,ENSPTRG00000021849,48.5595
ENSGGOG00000011768,ENSPTRG00000003141,48.7037
ENSGGOG00000025434,ENSPTRG00000031446,46.2168
ENSGGOG00000007457,ENSPTRG00000000017,48.3305
ENSGGOG00000026665,ENSPTRG00000030817,49.5935
ENSGGOG00000022772,ENSPTRG00000003172,47.7011
ENSGGOG00000002162,ENSPTRG00000013918,47.2727
ENSGGOG00000008076,ENSPTRG00000003172,47.7011
ENSGGOG00000026995,ENSPTRG00000003182,48
ENSGGOG00000027361,ENSPTRG00000003137,48.5965
ENSGGOG00000028250,ENSPTRG00000034307,48.0287
ENSGGOG00000007180,ENSPTRG00000030816,48.3092
ENSGGOG00000024305,ENSPTRG00000041367,50.6667
ENSGGOG00000011166,ENSPTRG00000034234,48.3333
ENSGGOG00000007494,ENSPTRG00000014616,48.7928
ENSGGOG00000025125,ENSPTRG00000038982,47.9452
ENSGGOG00000023034,ENSPTRG00000000124,48.9655
ENSGGOG00000022745,ENSPTRG00000005687,49.6269
ENSGGOG00000026638,ENSPTRG00000040033,50
ENSGGOG00000022322,ENSPTRG00000016911,49.2754
ENSGGOG00000014163,ENSPTRG00000003184,47.5
ENSGGOG00000023554,ENSPTRG00000019057,49.5202
ENSGGOG00000027877,ENSPTRG00000013839,53.6232
ENSGGOG00000022246,ENSPTRG00000034234,48.7923
ENSGGOG00000027695,ENSPTRG00000019962,47.2222
ENSGGOG00000013644,ENSPTRG00000000081,48.1481
ENSGGOG00000014404,ENSPTRG00000019953,51.5152
ENSGGOG00000025789,ENSPTRG00000031045,48.673
ENSGGOG00000022008,ENSPTRG00000039305,55.5556
ENSGGOG00000025267,ENSPTRG00000031314,47.3251
ENSGGOG00000026980,ENSPTRG00000030817,48.3333
ENSGGOG00000024285,ENSPTRG00000038829,48.4185
ENSGGOG00000027842,ENSPTRG00000000125,49.5856
ENSGGOG00000015668,ENSPTRG00000028745,47.1891
ENSGGOG00000001808,ENSPTRG00000039933,48.6726
ENSGGOG00000025118,ENSPTRG00000029512,49.1342
ENSGGOG00000025513,ENSPTRG00000020008,49.8938
ENSGGOG00000028277,ENSPTRG00000028769,49
ENSGGOG00000028422,ENSPTRG00000019963,48.2051
ENSGGOG00000001406,ENSPTRG00000013918,47.8548
ENSGGOG00000000497,ENSPTRG00000003318,46.749
ENSGGOG00000022666,ENSPTRG00000014080,48.2655
ENSGGOG00000027546,ENSPTRG00000014117,48.3364
ENSGGOG00000025336,ENSPTRG00000039292,49.2063
ENSGGOG00000028558,ENSPTRG00000034369,47.1976
ENSGGOG00000014253,ENSPTRG00000033843,46.6827
ENSGGOG00000000681,ENSPTRG00000028290,49.4737
ENSGGOG00000016153,ENSPTRG00000034369,48.2051
ENSGGOG00000024086,ENSPTRG00000041916,51.0638
ENSGGOG00000023794,ENSPTRG00000000063,48.547
ENSGGOG00000026635,ENSPTRG00000003320,46.3259
ENSGGOG00000025346,ENSPTRG00000028794,48.0263
ENSGGOG00000009956,ENSPTRG00000042298,47.0588
ENSGGOG00000006514,ENSPTRG00000028728,38.3069
ENSGGOG00000013018,ENSPTRG00000023374,2.33593
ENSGGOG00000005412,ENSPTRG00000014166,49.0008
ENSGGOG00000005412,ENSPTRG00000028763,48.8584
ENSGGOG00000026910,ENSPTRG00000019073,50.1258
ENSGGOG00000003668,ENSPTRG00000003318,44.3595
ENSGGOG00000022485,ENSPTRG00000003249,43.4444
ENSGGOG00000005784,ENSPTRG00000040155,49.4737
ENSGGOG00000023893,ENSPTRG00000005671,49.8143
ENSGGOG00000028350,ENSPTRG00000014062,45.1515
ENSGGOG00000014569,ENSPTRG00000040153,46.087
ENSGGOG00000026592,ENSPTRG00000042298,48.5564
ENSGGOG00000003154,ENSPTRG00000017695,48.3333
ENSGGOG00000028291,ENSPTRG00000000269,49.6599
ENSGGOG00000022031,ENSPTRG00000028728,39.3004
ENSGGOG00000023035,ENSPTRG00000000085,46.8193
ENSGGOG00000014406,ENSPTRG00000007651,46.2449
ENSGGOG00000014406,ENSPTRG00000000047,46.5785
ENSGGOG00000006911,ENSPTRG00000003320,46.0215
ENSGGOG00000027852,ENSPTRG00000028728,40.0419
ENSGGOG00000023804,ENSPTRG00000040561,48.7329
ENSGGOG00000008579,ENSPTRG00000003320,45.0251
ENSGGOG00000013440,ENSPTRG00000023556,43.4199
ENSGGOG00000008958,ENSPTRG00000029528,48.6957
ENSGGOG00000026559,ENSPTRG00000013918,48.3516
ENSGGOG00000014514,ENSPTRG00000028736,39.7007
ENSGGOG00000002469,ENSPTRG00000042298,47.4886
ENSGGOG00000005409,ENSPTRG00000004015,46.0481
ENSGGOG00000027148,ENSPTRG00000041367,51.9126
ENSGGOG00000026645,ENSPTRG00000023556,26.1146
ENSGGOG00000027081,ENSPTRG00000003320,43.4921
ENSGGOG00000024582,ENSPTRG00000031328,48.046
ENSGGOG00000013989,ENSPTRG00000023556,42.6955
ENSGGOG00000024500,ENSPTRG00000028322,48.7734
ENSGGOG00000027690,ENSPTRG00000003245,38.2796
ENSGGOG00000028425,ENSPTRG00000013918,47.7366
ENSGGOG00000003079,ENSPTRG00000023886,48.5127
ENSGGOG00000003079,ENSPTRG00000009878,48.1081
ENSGGOG00000024875,ENSPTRG00000003320,43.4921
ENSGGOG00000024975,ENSPTRG00000028736,39.7183
ENSGGOG00000028542,ENSPTRG00000040289,48.6239
ENSGGOG00000027571,ENSPTRG00000021728,49.0667
ENSGGOG00000004206,ENSPTRG00000040148,47.5191
ENSGGOG00000015406,ENSPTRG00000021804,48.8
ENSGGOG00000010518,ENSPTRG00000003320,44.7205
ENSGGOG00000010094,ENSPTRG00000023556,36.9312
ENSGGOG00000023930,ENSPTRG00000003318,45.6014
ENSGGOG00000026188,ENSPTRG00000003229,36.4389
ENSGGOG00000000006,ENSPTRG00000028736,48.325
ENSGGOG00000026669,ENSPTRG00000041259,65.5556
ENSGGOG00000025594,ENSPTRG00000031446,48.3146
ENSGGOG00000025535,ENSPTRG00000017006,48.9418
ENSGGOG00000028008,ENSPTRG00000039305,55.5556
ENSGGOG00000023899,ENSPTRG00000033811,49.6556
ENSGGOG00000001522,ENSPTRG00000014062,46.8835
ENSGGOG00000009018,ENSPTRG00000031023,48.4973
ENSGGOG00000016685,ENSPTRG00000021829,48.1982
ENSGGOG00000024097,ENSPTRG00000034369,47.2441
ENSGGOG00000011276,ENSPTRG00000031327,48.3165
ENSGGOG00000027343,ENSPTRG00000031446,48.6486
ENSGGOG00000025478,ENSPTRG00000031451,47.8788
ENSGGOG00000015599,ENSPTRG00000007628,47.6678
ENSGGOG00000028346,ENSPTRG00000003320,44.13
ENSGGOG00000022969,ENSPTRG00000023396,37.8422
ENSGGOG00000026029,ENSPTRG00000021728,49.1749
ENSGGOG00000002638,ENSPTRG00000042236,46.8037
ENSGGOG00000002638,ENSPTRG00000003174,47.5684
ENSGGOG00000026525,ENSPTRG00000019962,48.9097
ENSGGOG00000009648,ENSPTRG00000041737,49.1066
ENSGGOG00000024951,ENSPTRG00000041924,49.335
ENSGGOG00000027115,ENSPTRG00000016923,50.2767
ENSGGOG00000009913,ENSPTRG00000019040,49.5111
ENSGGOG00000026967,ENSPTRG00000017086,48.9717
ENSGGOG00000013430,ENSPTRG00000000282,48.8288
ENSGGOG00000012231,ENSPTRG00000028731,47.1545
ENSGGOG00000023969,ENSPTRG00000021674,48.645
ENSGGOG00000022789,ENSPTRG00000023396,39.2683
ENSGGOG00000025200,ENSPTRG00000003245,47.6656
ENSGGOG00000028225,ENSPTRG00000040333,50.5952
ENSGGOG00000023904,ENSPTRG00000042362,48.4328
ENSGGOG00000012517,ENSPTRG00000018941,47.6275
ENSGGOG00000015821,ENSPTRG00000003320,43.8395
ENSGGOG00000000889,ENSPTRG00000021857,48.4581
ENSGGOG00000000889,ENSPTRG00000018859,48.3926
ENSGGOG00000014141,ENSPTRG00000004552,49.2622
ENSGGOG00000025927,ENSPTRG00000028731,49.5763
ENSGGOG00000027411,ENSPTRG00000014080,46.9534
ENSGGOG00000026577,ENSPTRG00000007610,47.6085
ENSGGOG00000012346,ENSPTRG00000042466,47.2411
ENSGGOG00000025580,ENSPTRG00000028290,48.3516
ENSGGOG00000021949,ENSPTRG00000016887,49.7434
ENSGGOG00000022804,ENSPTRG00000028817,48.3826
ENSGGOG00000009780,ENSPTRG00000009893,37.8928
ENSGGOG00000024722,ENSPTRG00000042077,47.5862
ENSGGOG00000022900,ENSPTRG00000031451,48.048
ENSGGOG00000024936,ENSPTRG00000003320,42.1982
ENSGGOG00000027737,ENSPTRG00000014067,46.3794
ENSGGOG00000028389,ENSPTRG00000014186,47.8178
ENSGGOG00000022491,ENSPTRG00000039529,46.8553
ENSGGOG00000023369,ENSPTRG00000007626,47.0866
ENSGGOG00000026367,ENSPTRG00000014062,47.8036
ENSGGOG00000025363,ENSPTRG00000013921,50.6211
ENSGGOG00000002110,ENSPTRG00000021649,47.8395
ENSGGOG00000011755,ENSPTRG00000018886,47.2748
ENSGGOG00000011755,ENSPTRG00000018886,47.1791
ENSGGOG00000011755,ENSPTRG00000007607,47.0706
ENSGGOG00000028290,ENSPTRG00000033772,49.5495
ENSGGOG00000025516,ENSPTRG00000014157,47.6744
ENSGGOG00000027405,ENSPTRG00000041367,50
ENSGGOG00000022014,ENSPTRG00000042077,49.8818
ENSGGOG00000022783,ENSPTRG00000013921,50.2415
ENSGGOG00000002620,ENSPTRG00000003320,41.716
ENSGGOG00000027130,ENSPTRG00000018991,49.9089
ENSGGOG00000001194,ENSPTRG00000040153,45.8136
ENSGGOG00000026718,ENSPTRG00000000017,49.2553
ENSGGOG00000026190,ENSPTRG00000014062,47.7876
ENSGGOG00000007391,ENSPTRG00000016673,47.5081
ENSGGOG00000013741,ENSPTRG00000028792,47.1193
ENSGGOG00000023689,ENSPTRG00000028845,48.8506
ENSGGOG00000014185,ENSPTRG00000040289,48.6726
ENSGGOG00000028518,ENSPTRG00000019953,51.634
ENSGGOG00000023316,ENSPTRG00000014080,49.1396
ENSGGOG00000027814,ENSPTRG00000028643,49.0041
ENSGGOG00000006852,ENSPTRG00000021662,49.5166
ENSGGOG00000022517,ENSPTRG00000028322,47.398
ENSGGOG00000023208,ENSPTRG00000040740,47.5655
ENSGGOG00000012303,ENSPTRG00000000157,48.2112
ENSGGOG00000009215,ENSPTRG00000014626,48.0952
ENSGGOG00000028154,ENSPTRG00000013940,49.7788
ENSGGOG00000026143,ENSPTRG00000021728,46.9333
ENSGGOG00000026263,ENSPTRG00000028812,48.7745
ENSGGOG00000022261,ENSPTRG00000042089,50.7375
ENSGGOG00000023915,ENSPTRG00000013918,47.8261
ENSGGOG00000024310,ENSPTRG00000003184,48.5754
ENSGGOG00000026504,ENSPTRG00000013918,48.5294
ENSGGOG00000026826,ENSPTRG00000013839,52.381
ENSGGOG00000027109,ENSPTRG00000031451,48.11
ENSGGOG00000028402,ENSPTRG00000038980,48.2548
ENSGGOG00000023053,ENSPTRG00000005774,49.4845
ENSGGOG00000009931,ENSPTRG00000007547,48.1481
ENSGGOG00000026459,ENSPTRG00000014062,46.5517
ENSGGOG00000025412,ENSPTRG00000039529,49.2908
ENSGGOG00000010485,ENSPTRG00000042326,49.3282
ENSGGOG00000026154,ENSPTRG00000013921,50.8278
ENSGGOG00000001435,ENSPTRG00000014080,47.8708
ENSGGOG00000026871,ENSPTRG00000003184,47.0139
