gorilla_gorilla,macaca_mulatta
ENSGGOG00000027219,ENSMMUG00000032540,50.9363
ENSGGOG00000027285,ENSMMUG00000022138,47.5771
ENSGGOG00000011937,ENSMMUG00000013213,46.455
ENSGGOG00000024538,ENSMMUG00000001612,49.226
ENSGGOG00000024674,ENSMMUG00000006866,47.2097
ENSGGOG00000025955,ENSMMUG00000032571,4.55487
ENSGGOG00000011821,ENSMMUG00000032315,48.19
ENSGGOG00000024341,ENSMMUG00000032574,48.7756
ENSGGOG00000011818,ENSMMUG00000005304,48.3209
ENSGGOG00000013729,ENSMMUG00000032314,46.9697
ENSGGOG00000001157,ENSMMUG00000017757,48.9279
ENSGGOG00000023396,ENSMMUG00000004051,51.4493
ENSGGOG00000022876,ENSMMUG00000013213,45.7143
ENSGGOG00000027003,ENSMMUG00000001612,47.7226
ENSGGOG00000023322,ENSMMUG00000032338,48.254
ENSGGOG00000026796,ENSMMUG00000032534,48.374
ENSGGOG00000012168,ENSMMUG00000010248,48.11
ENSGGOG00000025217,ENSMMUG00000006733,48.9141
ENSGGOG00000023975,ENSMMUG00000018066,50.7812
ENSGGOG00000009136,ENSMMUG00000023059,48.2353
ENSGGOG00000027478,ENSMMUG00000013948,48.7939
ENSGGOG00000027924,ENSMMUG00000017883,47.9675
ENSGGOG00000025102,ENSMMUG00000032334,50.2415
ENSGGOG00000026642,ENSMMUG00000002333,48.7374
ENSGGOG00000023150,ENSMMUG00000032538,49.1228
ENSGGOG00000022801,ENSMMUG00000032381,47.992
ENSGGOG00000025776,ENSMMUG00000018714,47.0149
ENSGGOG00000022216,ENSMMUG00000032340,6.54008
ENSGGOG00000001975,ENSMMUG00000013213,45.6362
ENSGGOG00000027938,ENSMMUG00000023021,48.1577
ENSGGOG00000025611,ENSMMUG00000005026,48.4627
ENSGGOG00000023874,ENSMMUG00000014161,49.064
ENSGGOG00000011493,ENSMMUG00000013678,48.4942
ENSGGOG00000013793,ENSMMUG00000010248,48.7037
ENSGGOG00000003936,ENSMMUG00000009879,48.8172
ENSGGOG00000008999,ENSMMUG00000019338,48.1936
ENSGGOG00000028221,ENSMMUG00000011483,49.5526
ENSGGOG00000002459,ENSMMUG00000013213,46.3928
ENSGGOG00000025948,ENSMMUG00000032539,48.7179
ENSGGOG00000026036,ENSMMUG00000014258,48.8095
ENSGGOG00000014090,ENSMMUG00000001019,47.9574
ENSGGOG00000009319,ENSMMUG00000022137,35.6164
ENSGGOG00000025032,ENSMMUG00000032547,51.634
ENSGGOG00000025031,ENSMMUG00000004187,48.7179
ENSGGOG00000003521,ENSMMUG00000001001,48.1859
ENSGGOG00000016027,ENSMMUG00000016681,47.0528
ENSGGOG00000024544,ENSMMUG00000004798,49.0775
ENSGGOG00000015649,ENSMMUG00000014935,48.5457
ENSGGOG00000025496,ENSMMUG00000032334,50
ENSGGOG00000027763,ENSMMUG00000008943,48.6998
ENSGGOG00000023753,ENSMMUG00000010585,49.1726
ENSGGOG00000005399,ENSMMUG00000022849,35.341
ENSGGOG00000008159,ENSMMUG00000013213,47.1519
ENSGGOG00000023129,ENSMMUG00000015702,48.366
ENSGGOG00000028084,ENSMMUG00000016298,51.462
ENSGGOG00000013971,ENSMMUG00000013213,46.6454
ENSGGOG00000016615,ENSMMUG00000013213,47.7683
ENSGGOG00000022384,ENSMMUG00000013213,46.2194
ENSGGOG00000001916,ENSMMUG00000012774,49.3369
ENSGGOG00000001916,ENSMMUG00000000128,49.1168
ENSGGOG00000022076,ENSMMUG00000004051,50.7246
ENSGGOG00000025770,ENSMMUG00000016298,51.462
ENSGGOG00000012003,ENSMMUG00000008624,47.8639
ENSGGOG00000008053,ENSMMUG00000032408,46.7991
ENSGGOG00000027522,ENSMMUG00000032450,48.2385
ENSGGOG00000023165,ENSMMUG00000032379,52.2727
ENSGGOG00000026802,ENSMMUG00000018480,51.4286
ENSGGOG00000005438,ENSMMUG00000002608,49.6063
ENSGGOG00000026725,ENSMMUG00000032314,49.0741
ENSGGOG00000004553,ENSMMUG00000016216,47.2362
ENSGGOG00000022836,ENSMMUG00000015878,50
ENSGGOG00000025345,ENSMMUG00000002548,46.2745
ENSGGOG00000015142,ENSMMUG00000004321,48.9083
ENSGGOG00000023457,ENSMMUG00000013213,48.3598
ENSGGOG00000026883,ENSMMUG00000009164,25.5208
ENSGGOG00000016464,ENSMMUG00000004187,46.4052
ENSGGOG00000023502,ENSMMUG00000004658,49.7436
ENSGGOG00000023273,ENSMMUG00000017277,48.0392
ENSGGOG00000005445,ENSMMUG00000006192,48.9796
ENSGGOG00000028138,ENSMMUG00000032334,50
ENSGGOG00000022059,ENSMMUG00000032480,27.5194
ENSGGOG00000026705,ENSMMUG00000032381,48.5232
ENSGGOG00000025428,ENSMMUG00000007501,49.6238
ENSGGOG00000024763,ENSMMUG00000032491,47.8873
ENSGGOG00000002996,ENSMMUG00000000026,49.4574
ENSGGOG00000024760,ENSMMUG00000032342,4.82456
ENSGGOG00000025793,ENSMMUG00000013213,46.5591
ENSGGOG00000026984,ENSMMUG00000010585,49.6689
ENSGGOG00000022277,ENSMMUG00000019573,48.11
ENSGGOG00000023618,ENSMMUG00000004051,51.0638
ENSGGOG00000026401,ENSMMUG00000005086,50.3519
ENSGGOG00000024170,ENSMMUG00000015878,47.4359
ENSGGOG00000027150,ENSMMUG00000000673,49.1379
ENSGGOG00000002786,ENSMMUG00000019910,49.0119
ENSGGOG00000025754,ENSMMUG00000032571,6.8323
ENSGGOG00000025150,ENSMMUG00000013213,46.8966
ENSGGOG00000026093,ENSMMUG00000032381,41.7537
ENSGGOG00000025498,ENSMMUG00000005616,42.1245
ENSGGOG00000025174,ENSMMUG00000019573,48.7261
ENSGGOG00000025820,ENSMMUG00000032338,46.0993
ENSGGOG00000013791,ENSMMUG00000013213,49.6667
ENSGGOG00000022477,ENSMMUG00000013970,49.7354
ENSGGOG00000016459,ENSMMUG00000000890,49.4658
ENSGGOG00000022659,ENSMMUG00000032559,49.3213
ENSGGOG00000006457,ENSMMUG00000013213,48.7603
ENSGGOG00000009949,ENSMMUG00000021413,49.6154
ENSGGOG00000026147,ENSMMUG00000004152,46.875
ENSGGOG00000003672,ENSMMUG00000032536,48.1061
ENSGGOG00000026982,ENSMMUG00000007761,48.8243
ENSGGOG00000010318,ENSMMUG00000007583,48.8922
ENSGGOG00000022234,ENSMMUG00000000295,48.9316
ENSGGOG00000023555,ENSMMUG00000023059,47.0588
ENSGGOG00000026178,ENSMMUG00000015878,48.4848
ENSGGOG00000027179,ENSMMUG00000012542,49.711
ENSGGOG00000026854,ENSMMUG00000032435,48.318
ENSGGOG00000001534,ENSMMUG00000011467,48.1685
ENSGGOG00000011084,ENSMMUG00000032445,48.2843
ENSGGOG00000010311,ENSMMUG00000009320,37.1393
ENSGGOG00000013472,ENSMMUG00000016679,49.1276
ENSGGOG00000023266,ENSMMUG00000016948,48.9752
ENSGGOG00000026806,ENSMMUG00000023424,48.3146
ENSGGOG00000024782,ENSMMUG00000032363,49.4792
ENSGGOG00000026274,ENSMMUG00000019893,49.5238
ENSGGOG00000008389,ENSMMUG00000022638,48.1262
ENSGGOG00000022111,ENSMMUG00000014033,47.9586
ENSGGOG00000002865,ENSMMUG00000009476,45.6238
ENSGGOG00000012283,ENSMMUG00000000295,49.2114
ENSGGOG00000015878,ENSMMUG00000013213,46.7519
ENSGGOG00000024036,ENSMMUG00000018066,48.3333
ENSGGOG00000023674,ENSMMUG00000014066,50.3086
ENSGGOG00000005307,ENSMMUG00000016681,48.2428
ENSGGOG00000021984,ENSMMUG00000032502,49.0909
ENSGGOG00000028477,ENSMMUG00000032571,5.7971
ENSGGOG00000010632,ENSMMUG00000021984,48.6196
ENSGGOG00000014094,ENSMMUG00000032342,47.619
ENSGGOG00000008903,ENSMMUG00000016776,48.7735
ENSGGOG00000013363,ENSMMUG00000016681,47.8261
ENSGGOG00000026337,ENSMMUG00000004335,48.7923
ENSGGOG00000013687,ENSMMUG00000006866,47.7833
ENSGGOG00000014663,ENSMMUG00000010580,14.4289
ENSGGOG00000026428,ENSMMUG00000032571,6.04167
ENSGGOG00000022397,ENSMMUG00000032571,6.21118
ENSGGOG00000000631,ENSMMUG00000016045,49.3785
ENSGGOG00000024328,ENSMMUG00000002859,48.4245
ENSGGOG00000021937,ENSMMUG00000017635,43.7933
ENSGGOG00000007978,ENSMMUG00000013213,48.9883
ENSGGOG00000022824,ENSMMUG00000018480,52.5
ENSGGOG00000024427,ENSMMUG00000032378,48.0541
ENSGGOG00000024427,ENSMMUG00000002333,47.2678
ENSGGOG00000022741,ENSMMUG00000032534,49.789
ENSGGOG00000027533,ENSMMUG00000032354,24.7549
ENSGGOG00000027668,ENSMMUG00000032447,49.5283
ENSGGOG00000008829,ENSMMUG00000010248,48.6179
ENSGGOG00000001644,ENSMMUG00000006866,47.9638
ENSGGOG00000025729,ENSMMUG00000012849,48.9678
ENSGGOG00000025034,ENSMMUG00000032470,48.6339
ENSGGOG00000006391,ENSMMUG00000012918,47.4501
ENSGGOG00000000892,ENSMMUG00000000295,48.7753
ENSGGOG00000023932,ENSMMUG00000032513,12.5
ENSGGOG00000004859,ENSMMUG00000017757,48.7828
ENSGGOG00000024910,ENSMMUG00000012871,49.1546
ENSGGOG00000006847,ENSMMUG00000007739,49.6599
ENSGGOG00000028036,ENSMMUG00000032340,5.34188
ENSGGOG00000007745,ENSMMUG00000023024,47.4259
ENSGGOG00000024748,ENSMMUG00000013590,46.5201
ENSGGOG00000004355,ENSMMUG00000010250,48.5232
ENSGGOG00000010314,ENSMMUG00000032338,47.3684
ENSGGOG00000013878,ENSMMUG00000032315,47.2906
ENSGGOG00000028615,ENSMMUG00000007583,50.2604
ENSGGOG00000027642,ENSMMUG00000016469,45.446
ENSGGOG00000022101,ENSMMUG00000001662,17.3459
ENSGGOG00000009145,ENSMMUG00000016681,48.0151
ENSGGOG00000026002,ENSMMUG00000013213,48.8543
ENSGGOG00000027088,ENSMMUG00000019525,50.5556
ENSGGOG00000009641,ENSMMUG00000002729,46.3768
ENSGGOG00000025909,ENSMMUG00000032421,43.2749
ENSGGOG00000026836,ENSMMUG00000004656,48.7631
ENSGGOG00000022478,ENSMMUG00000032545,48.4127
ENSGGOG00000023036,ENSMMUG00000010620,48.7034
ENSGGOG00000026607,ENSMMUG00000032334,49.1453
ENSGGOG00000023280,ENSMMUG00000023059,49.7942
ENSGGOG00000024389,ENSMMUG00000014934,48.5277
ENSGGOG00000023206,ENSMMUG00000006863,48.9076
ENSGGOG00000007931,ENSMMUG00000032572,48.67
ENSGGOG00000006011,ENSMMUG00000004187,46.2845
ENSGGOG00000027630,ENSMMUG00000001738,49.0775
ENSGGOG00000028434,ENSMMUG00000010727,14.9847
ENSGGOG00000023401,ENSMMUG00000032574,48.7823
ENSGGOG00000024476,ENSMMUG00000032484,49.5327
ENSGGOG00000015763,ENSMMUG00000005026,48.2988
ENSGGOG00000023705,ENSMMUG00000013213,46.9453
ENSGGOG00000027203,ENSMMUG00000021984,48.1761
ENSGGOG00000026326,ENSMMUG00000000585,15.2672
ENSGGOG00000024107,ENSMMUG00000005263,48.5283
ENSGGOG00000026301,ENSMMUG00000011379,18.3761
ENSGGOG00000011253,ENSMMUG00000022849,28.0259
ENSGGOG00000027673,ENSMMUG00000018837,15.3153
ENSGGOG00000022186,ENSMMUG00000032491,47.7477
ENSGGOG00000005091,ENSMMUG00000013213,46.5767
ENSGGOG00000027439,ENSMMUG00000032424,49.7009
ENSGGOG00000007934,ENSMMUG00000032440,48.5417
ENSGGOG00000008129,ENSMMUG00000032350,48.1481
ENSGGOG00000005923,ENSMMUG00000015706,3.01724
ENSGGOG00000026119,ENSMMUG00000032327,48.916
ENSGGOG00000026119,ENSMMUG00000008566,48.9349
ENSGGOG00000016198,ENSMMUG00000015706,11.3821
ENSGGOG00000001025,ENSMMUG00000013938,49.4815
ENSGGOG00000012860,ENSMMUG00000005304,48.1058
ENSGGOG00000023985,ENSMMUG00000006866,48.8263
ENSGGOG00000002970,ENSMMUG00000023059,47.8548
ENSGGOG00000022284,ENSMMUG00000006179,17.0347
ENSGGOG00000016996,ENSMMUG00000000305,48.3092
ENSGGOG00000026988,ENSMMUG00000032397,46.0317
ENSGGOG00000025333,ENSMMUG00000004187,47.7642
ENSGGOG00000026696,ENSMMUG00000010883,48.1481
ENSGGOG00000023178,ENSMMUG00000032420,49.0814
ENSGGOG00000025315,ENSMMUG00000003561,47.9381
ENSGGOG00000014370,ENSMMUG00000006193,49.8718
ENSGGOG00000000021,ENSMMUG00000014062,48.8889
ENSGGOG00000022191,ENSMMUG00000018480,49.2424
ENSGGOG00000027346,ENSMMUG00000020152,48.381
ENSGGOG00000006280,ENSMMUG00000005494,49.6241
ENSGGOG00000028328,ENSMMUG00000032397,47.1631
ENSGGOG00000005564,ENSMMUG00000022081,47.7814
ENSGGOG00000005564,ENSMMUG00000001687,45.8801
ENSGGOG00000022306,ENSMMUG00000032470,48.9744
ENSGGOG00000015560,ENSMMUG00000032558,49.3506
ENSGGOG00000022979,ENSMMUG00000013213,47.0029
ENSGGOG00000027699,ENSMMUG00000032454,46.6302
ENSGGOG00000013986,ENSMMUG00000032326,48.7719
ENSGGOG00000010879,ENSMMUG00000013590,44.1176
ENSGGOG00000024004,ENSMMUG00000003323,48.4746
ENSGGOG00000025544,ENSMMUG00000009476,49.3808
ENSGGOG00000024012,ENSMMUG00000007583,47.3016
ENSGGOG00000025499,ENSMMUG00000003323,48.4746
ENSGGOG00000007410,ENSMMUG00000005263,47.9319
ENSGGOG00000025078,ENSMMUG00000032534,46.8468
ENSGGOG00000003070,ENSMMUG00000003136,48.803
ENSGGOG00000006778,ENSMMUG00000013213,46.0064
ENSGGOG00000024535,ENSMMUG00000013213,48.0892
ENSGGOG00000023691,ENSMMUG00000008760,47.8372
ENSGGOG00000012730,ENSMMUG00000013213,45.2609
ENSGGOG00000023355,ENSMMUG00000032543,47.2019
ENSGGOG00000027715,ENSMMUG00000016681,48.6717
ENSGGOG00000022738,ENSMMUG00000009015,47.7961
ENSGGOG00000025565,ENSMMUG00000007583,45.7971
ENSGGOG00000023211,ENSMMUG00000013213,45.2632
ENSGGOG00000021980,ENSMMUG00000032417,6.53595
ENSGGOG00000025061,ENSMMUG00000032417,5
ENSGGOG00000027494,ENSMMUG00000032454,46.3602
ENSGGOG00000025519,ENSMMUG00000013213,47.1761
ENSGGOG00000010502,ENSMMUG00000013213,46.8584
ENSGGOG00000006919,ENSMMUG00000009164,25.9829
ENSGGOG00000014837,ENSMMUG00000014916,49.3273
ENSGGOG00000024466,ENSMMUG00000021489,49.7835
ENSGGOG00000021950,ENSMMUG00000002333,46.77
ENSGGOG00000025802,ENSMMUG00000013213,45.8065
ENSGGOG00000022374,ENSMMUG00000004152,46.5278
ENSGGOG00000022092,ENSMMUG00000032479,49.7436
ENSGGOG00000011805,ENSMMUG00000032420,48.9899
ENSGGOG00000025306,ENSMMUG00000004335,51.5625
ENSGGOG00000023220,ENSMMUG00000013213,47.6956
ENSGGOG00000021960,ENSMMUG00000032395,49.3827
ENSGGOG00000021941,ENSMMUG00000004335,51.5625
ENSGGOG00000022153,ENSMMUG00000012711,49.1768
ENSGGOG00000027204,ENSMMUG00000013213,47.5269
ENSGGOG00000022746,ENSMMUG00000032536,49.6296
ENSGGOG00000024666,ENSMMUG00000011497,48.6054
ENSGGOG00000026776,ENSMMUG00000019768,49.4349
ENSGGOG00000022724,ENSMMUG00000018997,48.8584
ENSGGOG00000002520,ENSMMUG00000009402,47.9401
ENSGGOG00000004973,ENSMMUG00000032310,49.062
ENSGGOG00000028587,ENSMMUG00000032486,47.0714
ENSGGOG00000004548,ENSMMUG00000007584,49.0028
ENSGGOG00000006205,ENSMMUG00000021850,48.7549
ENSGGOG00000010812,ENSMMUG00000013590,47.6578
ENSGGOG00000024658,ENSMMUG00000019495,48.9418
ENSGGOG00000010225,ENSMMUG00000017405,47.9495
ENSGGOG00000004545,ENSMMUG00000032486,44.7745
ENSGGOG00000022860,ENSMMUG00000032496,9.42761
ENSGGOG00000000518,ENSMMUG00000013213,46.9649
ENSGGOG00000024643,ENSMMUG00000013213,46.1619
ENSGGOG00000009528,ENSMMUG00000005304,47.5723
ENSGGOG00000024511,ENSMMUG00000012073,48.4848
ENSGGOG00000003704,ENSMMUG00000032310,46.4555
ENSGGOG00000027920,ENSMMUG00000010620,48.3499
ENSGGOG00000011768,ENSMMUG00000032463,48.9815
ENSGGOG00000025434,ENSMMUG00000020179,47.2393
ENSGGOG00000007457,ENSMMUG00000032465,48.5003
ENSGGOG00000026665,ENSMMUG00000002986,50.4065
ENSGGOG00000022772,ENSMMUG00000017753,48.8506
ENSGGOG00000002162,ENSMMUG00000022137,47.2727
ENSGGOG00000008076,ENSMMUG00000017753,48.8506
ENSGGOG00000026995,ENSMMUG00000032539,49.3333
ENSGGOG00000027361,ENSMMUG00000010248,15.9649
ENSGGOG00000028250,ENSMMUG00000032514,45.8781
ENSGGOG00000007180,ENSMMUG00000001767,49.0338
ENSGGOG00000024305,ENSMMUG00000004658,52
ENSGGOG00000011166,ENSMMUG00000032547,52.7778
ENSGGOG00000007494,ENSMMUG00000006863,49.045
ENSGGOG00000025125,ENSMMUG00000023424,48.4018
ENSGGOG00000023034,ENSMMUG00000032554,49.1954
ENSGGOG00000022745,ENSMMUG00000003566,49.347
ENSGGOG00000026638,ENSMMUG00000018997,48.5294
ENSGGOG00000022322,ENSMMUG00000006919,48.0331
ENSGGOG00000014163,ENSMMUG00000023021,48.0714
ENSGGOG00000023554,ENSMMUG00000022224,49.2642
ENSGGOG00000027877,ENSMMUG00000004051,51.4493
ENSGGOG00000022246,ENSMMUG00000032334,51.2077
ENSGGOG00000027695,ENSMMUG00000019420,49.3827
ENSGGOG00000013644,ENSMMUG00000004187,47.9424
ENSGGOG00000014404,ENSMMUG00000032528,13.6364
ENSGGOG00000025789,ENSMMUG00000018703,49.0736
ENSGGOG00000022008,ENSMMUG00000032533,52.7778
ENSGGOG00000025267,ENSMMUG00000021258,47.7366
ENSGGOG00000026980,ENSMMUG00000032538,50
ENSGGOG00000024285,ENSMMUG00000007583,48.9051
ENSGGOG00000027842,ENSMMUG00000020699,49.3094
ENSGGOG00000015668,ENSMMUG00000009476,47.615
ENSGGOG00000001808,ENSMMUG00000032559,49.41
ENSGGOG00000025118,ENSMMUG00000005263,49.7835
ENSGGOG00000025513,ENSMMUG00000032340,7.21868
ENSGGOG00000028277,ENSMMUG00000020513,48.5714
ENSGGOG00000028422,ENSMMUG00000000856,8.54701
ENSGGOG00000001406,ENSMMUG00000032397,48.8449
ENSGGOG00000000497,ENSMMUG00000008388,48.2305
ENSGGOG00000022666,ENSMMUG00000000856,47.9638
ENSGGOG00000027546,ENSMMUG00000032492,48.7985
ENSGGOG00000025336,ENSMMUG00000032397,49.2063
ENSGGOG00000028558,ENSMMUG00000032421,47.1976
ENSGGOG00000014253,ENSMMUG00000003561,46.4428
ENSGGOG00000000681,ENSMMUG00000019573,49.1228
ENSGGOG00000016153,ENSMMUG00000032542,48.7179
ENSGGOG00000024086,ENSMMUG00000015878,51.0638
ENSGGOG00000023794,ENSMMUG00000000856,28.3761
ENSGGOG00000026635,ENSMMUG00000013213,47.8168
ENSGGOG00000025346,ENSMMUG00000008108,46.7105
ENSGGOG00000009956,ENSMMUG00000032338,47.3856
ENSGGOG00000006514,ENSMMUG00000012078,49.5238
ENSGGOG00000013018,ENSMMUG00000014781,48.0534
ENSGGOG00000005412,ENSMMUG00000013678,49.6403
ENSGGOG00000005412,ENSMMUG00000019910,49.0868
ENSGGOG00000026910,ENSMMUG00000022667,49.8239
ENSGGOG00000003668,ENSMMUG00000013213,47.7055
ENSGGOG00000022485,ENSMMUG00000008760,48
ENSGGOG00000005784,ENSMMUG00000012073,49.4737
ENSGGOG00000023893,ENSMMUG00000018193,49.1247
ENSGGOG00000028350,ENSMMUG00000017277,44.8485
ENSGGOG00000014569,ENSMMUG00000009476,46
ENSGGOG00000026592,ENSMMUG00000017277,46.9816
ENSGGOG00000003154,ENSMMUG00000032519,49
ENSGGOG00000028291,ENSMMUG00000032447,48.6395
ENSGGOG00000022031,ENSMMUG00000016681,48.7654
ENSGGOG00000023035,ENSMMUG00000022137,46.8193
ENSGGOG00000014406,ENSMMUG00000018435,46.3477
ENSGGOG00000014406,ENSMMUG00000007162,47.1259
ENSGGOG00000006911,ENSMMUG00000013213,47.6344
ENSGGOG00000027852,ENSMMUG00000016681,48.1132
ENSGGOG00000023804,ENSMMUG00000012619,48.8304
ENSGGOG00000008579,ENSMMUG00000013213,47.2362
ENSGGOG00000013440,ENSMMUG00000020833,48.6124
ENSGGOG00000008958,ENSMMUG00000009296,48.4348
ENSGGOG00000026559,ENSMMUG00000032536,47.9853
ENSGGOG00000014514,ENSMMUG00000023039,48.5035
ENSGGOG00000002469,ENSMMUG00000032542,47.2603
ENSGGOG00000005409,ENSMMUG00000032463,10.9966
ENSGGOG00000027148,ENSMMUG00000004658,50.8197
ENSGGOG00000026645,ENSMMUG00000020282,48.3015
ENSGGOG00000027081,ENSMMUG00000013213,45.291
ENSGGOG00000024582,ENSMMUG00000002729,40.2299
ENSGGOG00000013989,ENSMMUG00000016681,48.9712
ENSGGOG00000024500,ENSMMUG00000032415,14.7186
ENSGGOG00000027690,ENSMMUG00000032315,48.6022
ENSGGOG00000028425,ENSMMUG00000013415,47.5309
ENSGGOG00000003079,ENSMMUG00000020059,48.6963
ENSGGOG00000003079,ENSMMUG00000001557,48.018
ENSGGOG00000024875,ENSMMUG00000013213,44.9735
ENSGGOG00000024975,ENSMMUG00000013213,48.3568
ENSGGOG00000028542,ENSMMUG00000032536,48.6239
ENSGGOG00000027571,ENSMMUG00000032434,17.3333
ENSGGOG00000004206,ENSMMUG00000023635,45.3562
ENSGGOG00000015406,ENSMMUG00000004858,49.0667
ENSGGOG00000010518,ENSMMUG00000013213,47.3085
ENSGGOG00000010094,ENSMMUG00000001620,48.8889
ENSGGOG00000023930,ENSMMUG00000013213,47.8456
ENSGGOG00000026188,ENSMMUG00000016681,47.619
ENSGGOG00000000006,ENSMMUG00000021413,48.66
ENSGGOG00000026669,ENSMMUG00000032379,57.7778
ENSGGOG00000025594,ENSMMUG00000032397,46.8165
ENSGGOG00000025535,ENSMMUG00000032434,11.1111
ENSGGOG00000028008,ENSMMUG00000032533,52.7778
ENSGGOG00000023899,ENSMMUG00000020530,49.2799
ENSGGOG00000001522,ENSMMUG00000017277,46.8835
ENSGGOG00000009018,ENSMMUG00000032310,48.9071
ENSGGOG00000016685,ENSMMUG00000009320,47.9167
ENSGGOG00000024097,ENSMMUG00000002729,36.4829
ENSGGOG00000011276,ENSMMUG00000012918,48.9899
ENSGGOG00000027343,ENSMMUG00000002548,48.9489
ENSGGOG00000025478,ENSMMUG00000032435,49.697
ENSGGOG00000015599,ENSMMUG00000008760,48.1229
ENSGGOG00000028346,ENSMMUG00000013213,46.1216
ENSGGOG00000022969,ENSMMUG00000013327,41.0628
ENSGGOG00000026029,ENSMMUG00000032417,2.64026
ENSGGOG00000002638,ENSMMUG00000032421,47.9452
ENSGGOG00000002638,ENSMMUG00000001612,48.7842
ENSGGOG00000026525,ENSMMUG00000018714,47.6636
ENSGGOG00000009648,ENSMMUG00000015065,48.9834
ENSGGOG00000024951,ENSMMUG00000000682,48.2584
ENSGGOG00000027115,ENSMMUG00000014934,50.5929
ENSGGOG00000009913,ENSMMUG00000003896,49.5503
ENSGGOG00000026967,ENSMMUG00000021598,49.036
ENSGGOG00000013430,ENSMMUG00000008945,48.2883
ENSGGOG00000012231,ENSMMUG00000002333,47.7642
ENSGGOG00000023969,ENSMMUG00000021206,49.0515
ENSGGOG00000022789,ENSMMUG00000013327,40.9756
ENSGGOG00000025200,ENSMMUG00000013213,47.0141
ENSGGOG00000028225,ENSMMUG00000032529,49.4048
ENSGGOG00000023904,ENSMMUG00000032441,15.0657
ENSGGOG00000012517,ENSMMUG00000006967,49.3438
ENSGGOG00000015821,ENSMMUG00000013213,46.5138
ENSGGOG00000000889,ENSMMUG00000006378,47.5771
ENSGGOG00000000889,ENSMMUG00000004553,48.9566
ENSGGOG00000014141,ENSMMUG00000015266,5.90238
ENSGGOG00000025927,ENSMMUG00000003992,48.1638
ENSGGOG00000027411,ENSMMUG00000018157,17.2043
ENSGGOG00000026577,ENSMMUG00000018435,47.6528
ENSGGOG00000012346,ENSMMUG00000005026,47.4679
ENSGGOG00000025580,ENSMMUG00000005616,43.956
ENSGGOG00000021949,ENSMMUG00000012777,49.829
ENSGGOG00000022804,ENSMMUG00000017359,47.6793
ENSGGOG00000009780,ENSMMUG00000002292,37.7696
ENSGGOG00000024722,ENSMMUG00000032543,47.1264
ENSGGOG00000022900,ENSMMUG00000032338,47.7477
ENSGGOG00000024936,ENSMMUG00000013213,46.5162
ENSGGOG00000027737,ENSMMUG00000005304,47.5165
ENSGGOG00000028389,ENSMMUG00000002023,48.7034
ENSGGOG00000022491,ENSMMUG00000032470,6.28931
ENSGGOG00000023369,ENSMMUG00000032454,47.4016
ENSGGOG00000026367,ENSMMUG00000007583,48.3204
ENSGGOG00000025363,ENSMMUG00000019573,49.8447
ENSGGOG00000002110,ENSMMUG00000003992,47.3765
ENSGGOG00000011755,ENSMMUG00000013668,48.1373
ENSGGOG00000011755,ENSMMUG00000013668,47.7605
ENSGGOG00000011755,ENSMMUG00000003368,46.9781
ENSGGOG00000028290,ENSMMUG00000032379,52.2523
ENSGGOG00000025516,ENSMMUG00000023059,49.2248
ENSGGOG00000027405,ENSMMUG00000004658,49.4318
ENSGGOG00000022014,ENSMMUG00000013415,47.9905
ENSGGOG00000022783,ENSMMUG00000032489,48.7923
ENSGGOG00000002620,ENSMMUG00000013213,47.5345
ENSGGOG00000027130,ENSMMUG00000017842,49.7266
ENSGGOG00000001194,ENSMMUG00000003561,46.9194
ENSGGOG00000026718,ENSMMUG00000003040,49.3617
ENSGGOG00000026190,ENSMMUG00000008943,8.84956
ENSGGOG00000007391,ENSMMUG00000032572,48.3207
ENSGGOG00000013741,ENSMMUG00000005263,46.9136
ENSGGOG00000023689,ENSMMUG00000032555,13.7931
ENSGGOG00000014185,ENSMMUG00000032420,49.5575
ENSGGOG00000028518,ENSMMUG00000004658,47.0588
ENSGGOG00000023316,ENSMMUG00000002608,48.7572
ENSGGOG00000027814,ENSMMUG00000007922,49.5536
ENSGGOG00000006852,ENSMMUG00000007601,48.908
ENSGGOG00000022517,ENSMMUG00000008622,47.6793
ENSGGOG00000023208,ENSMMUG00000001477,48.6891
ENSGGOG00000012303,ENSMMUG00000019432,48.8748
ENSGGOG00000009215,ENSMMUG00000005498,48.254
ENSGGOG00000028154,ENSMMUG00000004701,48.8938
ENSGGOG00000026143,ENSMMUG00000032496,48.5333
ENSGGOG00000026263,ENSMMUG00000007584,49.0196
ENSGGOG00000022261,ENSMMUG00000010727,49.8525
ENSGGOG00000023915,ENSMMUG00000006866,48.3696
ENSGGOG00000024310,ENSMMUG00000032392,48.9924
ENSGGOG00000026504,ENSMMUG00000004335,49.5098
ENSGGOG00000026826,ENSMMUG00000019168,50
ENSGGOG00000027109,ENSMMUG00000023059,49.1409
ENSGGOG00000028402,ENSMMUG00000003136,47.5131
ENSGGOG00000023053,ENSMMUG00000009043,48.8832
ENSGGOG00000009931,ENSMMUG00000032486,47.9365
ENSGGOG00000026459,ENSMMUG00000007583,47.7833
ENSGGOG00000025412,ENSMMUG00000012711,48.9362
ENSGGOG00000010485,ENSMMUG00000013213,48.9443
ENSGGOG00000026154,ENSMMUG00000017883,49.3377
ENSGGOG00000001435,ENSMMUG00000017277,48.1645
ENSGGOG00000026871,ENSMMUG00000013708,47.8472
