pongo_abelii,gorilla_gorilla
ENSPPYG00000019217,ENSGGOG00000008400,48.2955
ENSPPYG00000019215,ENSGGOG00000005030,47.9532
ENSPPYG00000019213,ENSGGOG00000026926,48.9813
ENSPPYG00000019211,ENSGGOG00000001069,49.595
ENSPPYG00000019211,ENSGGOG00000001069,49.7252
ENSPPYG00000019211,ENSGGOG00000014572,49.6216
ENSPPYG00000019209,ENSGGOG00000008052,48.8506
ENSPPYG00000019207,ENSGGOG00000017143,49.1525
ENSPPYG00000019205,ENSGGOG00000025049,48.7199
ENSPPYG00000019203,ENSGGOG00000009603,49.3636
ENSPPYG00000019201,ENSGGOG00000001312,48.4172
ENSPPYG00000019199,ENSGGOG00000022619,47.9256
ENSPPYG00000019199,ENSGGOG00000015635,47.9393
ENSPPYG00000019197,ENSGGOG00000004655,48.8701
ENSPPYG00000019195,ENSGGOG00000013016,48.7844
ENSPPYG00000019193,ENSGGOG00000022666,48.9199
ENSPPYG00000019189,ENSGGOG00000027630,48.7973
ENSPPYG00000019187,ENSGGOG00000005644,49.1491
ENSPPYG00000019185,ENSGGOG00000025576,2.30496
ENSPPYG00000019183,ENSGGOG00000028067,46.3768
ENSPPYG00000019181,ENSGGOG00000028067,9.87654
ENSPPYG00000019179,ENSGGOG00000022136,48.5437
ENSPPYG00000019177,ENSGGOG00000022086,2.46914
ENSPPYG00000019175,ENSGGOG00000026395,2.29277
ENSPPYG00000019171,ENSGGOG00000016296,48.7478
ENSPPYG00000019169,ENSGGOG00000023080,45.2107
ENSPPYG00000019167,ENSGGOG00000005082,48.2508
ENSPPYG00000019167,ENSGGOG00000012493,48.7319
ENSPPYG00000019165,ENSGGOG00000028018,47.9401
ENSPPYG00000019163,ENSGGOG00000027466,46.8599
ENSPPYG00000019161,ENSGGOG00000034818,48.7149
ENSPPYG00000019159,ENSGGOG00000023227,48.1174
ENSPPYG00000019159,ENSGGOG00000016654,48
ENSPPYG00000019157,ENSGGOG00000028133,48.6068
ENSPPYG00000019155,ENSGGOG00000028067,42.6282
ENSPPYG00000019153,ENSGGOG00000004676,49.1488
ENSPPYG00000019151,ENSGGOG00000026823,45.8333
ENSPPYG00000019149,ENSGGOG00000028407,48.7041
ENSPPYG00000019147,ENSGGOG00000025857,48.0726
ENSPPYG00000019145,ENSGGOG00000005644,49.2168
ENSPPYG00000019145,ENSGGOG00000028211,49.4092
ENSPPYG00000019141,ENSGGOG00000007030,46.1603
ENSPPYG00000019139,ENSGGOG00000017143,47.7861
ENSPPYG00000019137,ENSGGOG00000016542,13.246
ENSPPYG00000019135,ENSGGOG00000022289,48.6532
ENSPPYG00000019133,ENSGGOG00000009450,48.8194
ENSPPYG00000019131,ENSGGOG00000016493,47.2588
ENSPPYG00000019127,ENSGGOG00000005923,31.4978
ENSPPYG00000019125,ENSGGOG00000023870,49.1356
ENSPPYG00000019123,ENSGGOG00000007706,0.978953
ENSPPYG00000019121,ENSGGOG00000005626,49.457
ENSPPYG00000019121,ENSGGOG00000003617,46.4596
ENSPPYG00000019119,ENSGGOG00000026823,45.8874
ENSPPYG00000019117,ENSGGOG00000004655,47.6012
ENSPPYG00000019115,ENSGGOG00000022833,47.8538
ENSPPYG00000019113,ENSGGOG00000026151,47.4747
ENSPPYG00000019111,ENSGGOG00000015319,47.9354
ENSPPYG00000019109,ENSGGOG00000028558,47.1014
ENSPPYG00000019107,ENSGGOG00000024167,48.248
ENSPPYG00000019107,ENSGGOG00000013741,47.193
ENSPPYG00000019107,ENSGGOG00000013741,46.6312
ENSPPYG00000019105,ENSGGOG00000026776,48.7815
ENSPPYG00000019103,ENSGGOG00000023005,48.1426
ENSPPYG00000019101,ENSGGOG00000004995,47.6456
ENSPPYG00000019099,ENSGGOG00000022961,49.2356
ENSPPYG00000019097,ENSGGOG00000009450,48.1262
ENSPPYG00000019097,ENSGGOG00000016972,48.3312
ENSPPYG00000019095,ENSGGOG00000027003,48.1481
ENSPPYG00000019093,ENSGGOG00000022289,46.3621
ENSPPYG00000019091,ENSGGOG00000003560,49.4328
ENSPPYG00000019091,ENSGGOG00000003560,48.5417
ENSPPYG00000019089,ENSGGOG00000007375,46.455
ENSPPYG00000019087,ENSGGOG00000005626,49.3241
ENSPPYG00000019085,ENSGGOG00000028587,48.6395
ENSPPYG00000019083,ENSGGOG00000008892,48.7424
ENSPPYG00000019081,ENSGGOG00000006703,48.1953
ENSPPYG00000019079,ENSGGOG00000011811,48.1895
ENSPPYG00000019073,ENSGGOG00000022035,47.7954
ENSPPYG00000019071,ENSGGOG00000026785,48.172
ENSPPYG00000019071,ENSGGOG00000026785,47.957
ENSPPYG00000019069,ENSGGOG00000015683,49.8539
ENSPPYG00000019065,ENSGGOG00000022136,48.773
ENSPPYG00000019063,ENSGGOG00000003710,5.44
ENSPPYG00000019061,ENSGGOG00000001882,8.56164
ENSPPYG00000019059,ENSGGOG00000023122,49.359
ENSPPYG00000019057,ENSGGOG00000017107,49.539
ENSPPYG00000019055,ENSGGOG00000010423,48.5507
ENSPPYG00000019053,ENSGGOG00000006954,49.1051
ENSPPYG00000019051,ENSGGOG00000005626,49.6524
ENSPPYG00000019047,ENSGGOG00000024958,48.6179
ENSPPYG00000019045,ENSGGOG00000006838,47.9252
ENSPPYG00000019043,ENSGGOG00000016327,46.9816
ENSPPYG00000019041,ENSGGOG00000028368,49.4196
ENSPPYG00000019039,ENSGGOG00000000099,47.619
ENSPPYG00000019037,ENSGGOG00000003079,49.3526
ENSPPYG00000019037,ENSGGOG00000003079,49.4802
ENSPPYG00000019037,ENSGGOG00000003079,49.6606
ENSPPYG00000019035,ENSGGOG00000026899,44.7111
ENSPPYG00000019031,ENSGGOG00000026504,49.5495
ENSPPYG00000019031,ENSGGOG00000026550,49.5726
ENSPPYG00000019029,ENSGGOG00000023163,46.5649
ENSPPYG00000019027,ENSGGOG00000027730,48.4127
ENSPPYG00000019025,ENSGGOG00000028365,47.0175
ENSPPYG00000019023,ENSGGOG00000025666,49.2958
ENSPPYG00000019017,ENSGGOG00000022833,48.5109
ENSPPYG00000019015,ENSGGOG00000023355,45.5724
ENSPPYG00000019011,ENSGGOG00000007376,48.0315
ENSPPYG00000019005,ENSGGOG00000004617,46.6667
ENSPPYG00000019003,ENSGGOG00000028036,28.5714
ENSPPYG00000019001,ENSGGOG00000008611,46.5368
ENSPPYG00000018997,ENSGGOG00000009671,40.7516
ENSPPYG00000018997,ENSGGOG00000027065,37.0488
ENSPPYG00000018997,ENSGGOG00000028067,47.8632
ENSPPYG00000018995,ENSGGOG00000024378,46.6667
ENSPPYG00000018993,ENSGGOG00000006703,47.646
ENSPPYG00000018991,ENSGGOG00000004137,47.9328
ENSPPYG00000018989,ENSGGOG00000006838,41.6048
ENSPPYG00000018987,ENSGGOG00000023813,48.7356
ENSPPYG00000018985,ENSGGOG00000010879,44.9393
ENSPPYG00000018983,ENSGGOG00000003008,46.4891
ENSPPYG00000018981,ENSGGOG00000010879,46.0219
ENSPPYG00000018979,ENSGGOG00000027058,46.7974
ENSPPYG00000018977,ENSGGOG00000001194,47.9543
ENSPPYG00000018975,ENSGGOG00000006703,47.1545
ENSPPYG00000018973,ENSGGOG00000016587,47.7201
ENSPPYG00000018973,ENSGGOG00000001083,47.5061
ENSPPYG00000018971,ENSGGOG00000010879,46.3636
ENSPPYG00000018969,ENSGGOG00000001083,46.3522
ENSPPYG00000018967,ENSGGOG00000009450,47.4908
ENSPPYG00000018965,ENSGGOG00000002865,45.6095
ENSPPYG00000018963,ENSGGOG00000004553,47.8599
ENSPPYG00000018961,ENSGGOG00000028066,47.4438
ENSPPYG00000018959,ENSGGOG00000004137,46.4435
ENSPPYG00000018957,ENSGGOG00000010019,47.2973
ENSPPYG00000018955,ENSGGOG00000005626,47.4072
ENSPPYG00000018953,ENSGGOG00000023666,45.3901
ENSPPYG00000018951,ENSGGOG00000015243,47.283
ENSPPYG00000018949,ENSGGOG00000004137,44.9782
ENSPPYG00000018947,ENSGGOG00000026577,47.8842
ENSPPYG00000018945,ENSGGOG00000016493,44.6886
ENSPPYG00000018943,ENSGGOG00000025420,47.0458
ENSPPYG00000018941,ENSGGOG00000027867,48.5507
ENSPPYG00000018941,ENSGGOG00000003704,48.3796
ENSPPYG00000018939,ENSGGOG00000016493,45.9236
ENSPPYG00000018937,ENSGGOG00000010879,45.7431
ENSPPYG00000018935,ENSGGOG00000007551,48.0857
ENSPPYG00000018933,ENSGGOG00000028596,5
ENSPPYG00000018931,ENSGGOG00000001083,46.9501
ENSPPYG00000018931,ENSGGOG00000004545,46.1538
ENSPPYG00000018929,ENSGGOG00000026915,47.0449
ENSPPYG00000018927,ENSGGOG00000027343,46.2121
ENSPPYG00000018925,ENSGGOG00000025400,48.4672
ENSPPYG00000018923,ENSGGOG00000027604,45.5927
ENSPPYG00000018921,ENSGGOG00000024378,44.0191
ENSPPYG00000018919,ENSGGOG00000026915,45.7995
ENSPPYG00000018917,ENSGGOG00000002865,46.5155
ENSPPYG00000018915,ENSGGOG00000023628,46.9401
ENSPPYG00000018913,ENSGGOG00000024674,49.5916
ENSPPYG00000018911,ENSGGOG00000003587,47.6549
ENSPPYG00000018909,ENSGGOG00000006754,49.1461
ENSPPYG00000018909,ENSGGOG00000023445,47.561
ENSPPYG00000018907,ENSGGOG00000022261,47.2222
ENSPPYG00000018905,ENSGGOG00000005217,47.8548
ENSPPYG00000018903,ENSGGOG00000015718,47.2
ENSPPYG00000018901,ENSGGOG00000028534,49.4555
ENSPPYG00000018899,ENSGGOG00000022268,48.9533
ENSPPYG00000018895,ENSGGOG00000007620,49.7197
ENSPPYG00000018893,ENSGGOG00000015406,48.7365
ENSPPYG00000018891,ENSGGOG00000028211,49.6577
ENSPPYG00000018891,ENSGGOG00000010070,49.369
ENSPPYG00000018889,ENSGGOG00000003936,48.3333
ENSPPYG00000018887,ENSGGOG00000016631,48.1481
ENSPPYG00000018885,ENSGGOG00000012276,49.1607
ENSPPYG00000018883,ENSGGOG00000007560,48.8205
ENSPPYG00000018883,ENSGGOG00000028368,48.2309
ENSPPYG00000018881,ENSGGOG00000023534,3.93939
ENSPPYG00000018879,ENSGGOG00000009331,8.88889
ENSPPYG00000018875,ENSGGOG00000009118,47.3637
ENSPPYG00000018873,ENSGGOG00000025049,48.6975
ENSPPYG00000018873,ENSGGOG00000022699,48.7554
ENSPPYG00000018871,ENSGGOG00000009780,40.4444
ENSPPYG00000018869,ENSGGOG00000002638,48.6742
ENSPPYG00000018867,ENSGGOG00000034932,48.6117
ENSPPYG00000018865,ENSGGOG00000022772,48.5119
ENSPPYG00000018863,ENSGGOG00000023064,47.8261
ENSPPYG00000018861,ENSGGOG00000014572,49.4748
ENSPPYG00000018859,ENSGGOG00000023870,48.2629
ENSPPYG00000018857,ENSGGOG00000026926,48.4375
ENSPPYG00000018857,ENSGGOG00000014223,48.5332
ENSPPYG00000018855,ENSGGOG00000028133,49.0814
ENSPPYG00000018853,ENSGGOG00000028005,47.541
ENSPPYG00000018853,ENSGGOG00000027938,47.8161
ENSPPYG00000018849,ENSGGOG00000009880,49.0923
ENSPPYG00000018847,ENSGGOG00000023195,48.3974
ENSPPYG00000018845,ENSGGOG00000027838,48.6553
ENSPPYG00000018843,ENSGGOG00000025049,49.25
ENSPPYG00000018841,ENSGGOG00000024900,47.8585
ENSPPYG00000018839,ENSGGOG00000027923,48.9209
ENSPPYG00000018837,ENSGGOG00000008282,48.8279
ENSPPYG00000018837,ENSGGOG00000025513,47.8548
ENSPPYG00000018835,ENSGGOG00000025346,47.8585
ENSPPYG00000018833,ENSGGOG00000026367,46.6667
ENSPPYG00000018831,ENSGGOG00000002110,48.1333
ENSPPYG00000018829,ENSGGOG00000012718,49.6653
ENSPPYG00000018827,ENSGGOG00000013122,48.6149
ENSPPYG00000018825,ENSGGOG00000015441,48.7616
ENSPPYG00000018823,ENSGGOG00000003981,48.2877
ENSPPYG00000018821,ENSGGOG00000000889,48.7562
ENSPPYG00000018819,ENSGGOG00000022789,48.9973
ENSPPYG00000018817,ENSGGOG00000006443,48.163
ENSPPYG00000018815,ENSGGOG00000025049,48.7567
ENSPPYG00000018815,ENSGGOG00000014852,48.3524
ENSPPYG00000018815,ENSGGOG00000025558,48.0727
ENSPPYG00000018815,ENSGGOG00000016192,48.3582
ENSPPYG00000018813,ENSGGOG00000022961,48.8917
ENSPPYG00000018813,ENSGGOG00000022961,49.1662
ENSPPYG00000018813,ENSGGOG00000028407,48.8372
ENSPPYG00000018811,ENSGGOG00000000006,49.6108
ENSPPYG00000018809,ENSGGOG00000016296,48.3123
ENSPPYG00000018807,ENSGGOG00000027361,49.1379
ENSPPYG00000018805,ENSGGOG00000025666,47.619
ENSPPYG00000018803,ENSGGOG00000015683,48.2667
ENSPPYG00000018803,ENSGGOG00000024853,48.4293
ENSPPYG00000018801,ENSGGOG00000023876,48.3729
ENSPPYG00000018799,ENSGGOG00000016620,48.34
ENSPPYG00000018797,ENSGGOG00000003533,49.0603
ENSPPYG00000018795,ENSGGOG00000008196,50.0884
ENSPPYG00000018793,ENSGGOG00000027698,2.5974
ENSPPYG00000018791,ENSGGOG00000014852,49.734
ENSPPYG00000018789,ENSGGOG00000027838,49.2063
ENSPPYG00000018787,ENSGGOG00000028211,49.7482
ENSPPYG00000018785,ENSGGOG00000023377,48.6914
ENSPPYG00000018783,ENSGGOG00000016327,48.0769
ENSPPYG00000018783,ENSGGOG00000000516,46.4912
ENSPPYG00000018781,ENSGGOG00000001891,48.3493
ENSPPYG00000018779,ENSGGOG00000014569,47.9777
ENSPPYG00000018777,ENSGGOG00000012775,49.626
ENSPPYG00000018775,ENSGGOG00000005564,48.5915
ENSPPYG00000018773,ENSGGOG00000012775,48.7601
ENSPPYG00000018773,ENSGGOG00000012775,48.4658
ENSPPYG00000018771,ENSGGOG00000012493,48.2818
ENSPPYG00000018769,ENSGGOG00000003174,42.008
ENSPPYG00000018767,ENSGGOG00000024167,48.1848
ENSPPYG00000018765,ENSGGOG00000005680,48.5232
ENSPPYG00000018763,ENSGGOG00000014627,48.0159
ENSPPYG00000018761,ENSGGOG00000007376,48.8782
ENSPPYG00000018759,ENSGGOG00000003361,49.1507
ENSPPYG00000018759,ENSGGOG00000022804,48.7867
ENSPPYG00000018757,ENSGGOG00000003266,48.0929
ENSPPYG00000018755,ENSGGOG00000024850,48.3943
ENSPPYG00000018755,ENSGGOG00000027844,48.0203
ENSPPYG00000018753,ENSGGOG00000010925,49.5186
ENSPPYG00000018751,ENSGGOG00000027377,49.0618
ENSPPYG00000018749,ENSGGOG00000013016,49.1787
ENSPPYG00000018747,ENSGGOG00000004406,49.1244
ENSPPYG00000018747,ENSGGOG00000004406,49.1244
ENSPPYG00000018747,ENSGGOG00000004406,49.1244
ENSPPYG00000018745,ENSGGOG00000012288,49.1021
ENSPPYG00000018743,ENSGGOG00000028018,47.1264
ENSPPYG00000018741,ENSGGOG00000008196,50.2047
ENSPPYG00000018739,ENSGGOG00000028368,48.4375
ENSPPYG00000018737,ENSGGOG00000025576,49.354
ENSPPYG00000018735,ENSGGOG00000001257,49.2464
ENSPPYG00000018733,ENSGGOG00000024658,48.8818
ENSPPYG00000018731,ENSGGOG00000005185,49.0119
ENSPPYG00000018729,ENSGGOG00000016656,49.3771
ENSPPYG00000018727,ENSGGOG00000005564,48.3029
ENSPPYG00000018725,ENSGGOG00000006837,49.0751
ENSPPYG00000018723,ENSGGOG00000014514,48.9738
ENSPPYG00000018721,ENSGGOG00000023876,48.9637
ENSPPYG00000018719,ENSGGOG00000025652,46.0317
ENSPPYG00000018717,ENSGGOG00000014253,49.2161
ENSPPYG00000018715,ENSGGOG00000027903,48.4036
ENSPPYG00000018713,ENSGGOG00000026025,48.7685
ENSPPYG00000018711,ENSGGOG00000028211,48.7702
ENSPPYG00000018709,ENSGGOG00000025576,48.8215
ENSPPYG00000018707,ENSGGOG00000010632,48.0793
ENSPPYG00000018705,ENSGGOG00000027005,48.5083
ENSPPYG00000018703,ENSGGOG00000026932,27.7778
ENSPPYG00000018701,ENSGGOG00000026932,47.619
ENSPPYG00000018699,ENSGGOG00000028434,48.0392
ENSPPYG00000018697,ENSGGOG00000023876,48.7302
ENSPPYG00000018695,ENSGGOG00000014070,48.7312
ENSPPYG00000018695,ENSGGOG00000007376,48.6312
ENSPPYG00000018693,ENSGGOG00000016192,49.778
ENSPPYG00000018691,ENSGGOG00000010351,48.8764
ENSPPYG00000018689,ENSGGOG00000023682,47.1861
ENSPPYG00000018687,ENSGGOG00000003533,49.8449
ENSPPYG00000018685,ENSGGOG00000024086,47.4359
ENSPPYG00000018683,ENSGGOG00000010632,48.906
ENSPPYG00000018681,ENSGGOG00000016381,47.5038
ENSPPYG00000018679,ENSGGOG00000002110,49.0421
ENSPPYG00000018677,ENSGGOG00000023108,48.5915
ENSPPYG00000018673,ENSGGOG00000028252,47.5783
ENSPPYG00000018671,ENSGGOG00000024853,48.6348
ENSPPYG00000018671,ENSGGOG00000007804,47.8495
ENSPPYG00000018669,ENSGGOG00000025393,9.93884
ENSPPYG00000018667,ENSGGOG00000006890,36.4859
ENSPPYG00000018665,ENSGGOG00000023080,46.2158
ENSPPYG00000018663,ENSGGOG00000000880,47.9784
ENSPPYG00000018659,ENSGGOG00000027536,48.2587
ENSPPYG00000018657,ENSGGOG00000027300,46.7593
ENSPPYG00000018653,ENSGGOG00000010070,48.4532
ENSPPYG00000018653,ENSGGOG00000022961,48.9309
ENSPPYG00000018651,ENSGGOG00000028133,48.6486
ENSPPYG00000018649,ENSGGOG00000022699,49.0977
ENSPPYG00000018647,ENSGGOG00000023794,48.7627
ENSPPYG00000018645,ENSGGOG00000024341,48.2798
ENSPPYG00000018641,ENSGGOG00000022699,48.8163
ENSPPYG00000018639,ENSGGOG00000015979,49.1542
ENSPPYG00000018639,ENSGGOG00000015979,49.5658
ENSPPYG00000018639,ENSGGOG00000015979,49.1371
ENSPPYG00000018639,ENSGGOG00000027133,47.7124
ENSPPYG00000018637,ENSGGOG00000012466,47.2503
ENSPPYG00000018635,ENSGGOG00000013205,49.2089
ENSPPYG00000018635,ENSGGOG00000013016,49.1964
ENSPPYG00000018633,ENSGGOG00000023161,48.6111
ENSPPYG00000018631,ENSGGOG00000028407,49.2015
ENSPPYG00000018629,ENSGGOG00000011191,48.5207
ENSPPYG00000018627,ENSGGOG00000022327,22.5352
ENSPPYG00000018625,ENSGGOG00000026143,47.7083
ENSPPYG00000018623,ENSGGOG00000007934,47.963
ENSPPYG00000018621,ENSGGOG00000022961,48.4349
ENSPPYG00000018619,ENSGGOG00000027300,45.7711
ENSPPYG00000018617,ENSGGOG00000006202,49.3146
ENSPPYG00000018615,ENSGGOG00000027005,49.1409
ENSPPYG00000018613,ENSGGOG00000024815,49.0022
ENSPPYG00000018611,ENSGGOG00000011191,47.2607
ENSPPYG00000018609,ENSGGOG00000025462,49.3376
ENSPPYG00000018607,ENSGGOG00000017143,47.963
ENSPPYG00000018605,ENSGGOG00000028211,49.3264
ENSPPYG00000018603,ENSGGOG00000023486,50
ENSPPYG00000018601,ENSGGOG00000017143,47.9347
ENSPPYG00000018597,ENSGGOG00000028211,48.7386
ENSPPYG00000018595,ENSGGOG00000013424,48.0287
ENSPPYG00000018593,ENSGGOG00000009275,46.0432
ENSPPYG00000018591,ENSGGOG00000026982,48.8215
ENSPPYG00000018589,ENSGGOG00000022804,47.8405
ENSPPYG00000018587,ENSGGOG00000022136,49.0234
ENSPPYG00000018587,ENSGGOG00000025397,48.9259
ENSPPYG00000018585,ENSGGOG00000015243,1.62107
ENSPPYG00000018583,ENSGGOG00000013263,48.7179
ENSPPYG00000018581,ENSGGOG00000028218,48.5638
ENSPPYG00000018579,ENSGGOG00000021984,49.5392
ENSPPYG00000018577,ENSGGOG00000007376,48.1132
ENSPPYG00000018575,ENSGGOG00000008196,48.8357
ENSPPYG00000018573,ENSGGOG00000010257,49.4452
ENSPPYG00000018571,ENSGGOG00000015441,49.6562
ENSPPYG00000018569,ENSGGOG00000013729,50
ENSPPYG00000018567,ENSGGOG00000023227,48.4739
ENSPPYG00000018565,ENSGGOG00000011191,49.2545
ENSPPYG00000018563,ENSGGOG00000024270,48.5465
ENSPPYG00000018561,ENSGGOG00000012299,48.8619
ENSPPYG00000018559,ENSGGOG00000002309,49.0109
ENSPPYG00000018557,ENSGGOG00000026982,47.8809
ENSPPYG00000018555,ENSGGOG00000016873,49.0046
ENSPPYG00000018553,ENSGGOG00000012168,48.2963
ENSPPYG00000018551,ENSGGOG00000010080,49.0633
ENSPPYG00000018549,ENSGGOG00000001501,48.6122
ENSPPYG00000018549,ENSGGOG00000001501,48.5671
ENSPPYG00000018547,ENSGGOG00000014195,49.9194
ENSPPYG00000018545,ENSGGOG00000011794,45.9854
ENSPPYG00000018543,ENSGGOG00000022086,48.3631
ENSPPYG00000018541,ENSGGOG00000013122,49.6983
ENSPPYG00000018539,ENSGGOG00000027258,47.352
ENSPPYG00000018537,ENSGGOG00000022623,48.7528
ENSPPYG00000018535,ENSGGOG00000023328,47.6577
ENSPPYG00000018533,ENSGGOG00000015683,48.5069
ENSPPYG00000018531,ENSGGOG00000004006,45.4065
ENSPPYG00000018529,ENSGGOG00000027785,48.4391
ENSPPYG00000018529,ENSGGOG00000002075,49.5526
ENSPPYG00000018527,ENSGGOG00000001689,48.7294
ENSPPYG00000018525,ENSGGOG00000003981,49.2942
ENSPPYG00000018523,ENSGGOG00000024808,48.6607
ENSPPYG00000018521,ENSGGOG00000028434,47.5124
ENSPPYG00000018519,ENSGGOG00000009382,49.31
ENSPPYG00000018519,ENSGGOG00000009382,49.3612
ENSPPYG00000018517,ENSGGOG00000010879,46.1288
ENSPPYG00000018517,ENSGGOG00000027867,46.1129
ENSPPYG00000018515,ENSGGOG00000034914,49.64
ENSPPYG00000018513,ENSGGOG00000023813,47.6047
ENSPPYG00000018511,ENSGGOG00000026883,48.3483
ENSPPYG00000018507,ENSGGOG00000028211,49.496
ENSPPYG00000018503,ENSGGOG00000026448,48.2906
ENSPPYG00000018501,ENSGGOG00000003521,49.0587
ENSPPYG00000018499,ENSGGOG00000024378,46.8553
ENSPPYG00000018499,ENSGGOG00000024378,47.8673
ENSPPYG00000018497,ENSGGOG00000014406,48.7505
ENSPPYG00000018497,ENSGGOG00000014406,48.602
ENSPPYG00000018497,ENSGGOG00000014406,48.6967
ENSPPYG00000018497,ENSGGOG00000014406,48.5465
ENSPPYG00000018497,ENSGGOG00000001407,49.0113
ENSPPYG00000018495,ENSGGOG00000010632,48.9388
ENSPPYG00000018493,ENSGGOG00000024900,49.226
ENSPPYG00000018491,ENSGGOG00000024957,48.5437
ENSPPYG00000018489,ENSGGOG00000008039,48.8067
ENSPPYG00000018487,ENSGGOG00000007942,48.7879
ENSPPYG00000018485,ENSGGOG00000022485,49.187
ENSPPYG00000018483,ENSGGOG00000016542,49.0526
ENSPPYG00000018483,ENSGGOG00000007800,48.9491
ENSPPYG00000018481,ENSGGOG00000005224,49.6897
ENSPPYG00000018481,ENSGGOG00000014802,49.0232
ENSPPYG00000018479,ENSGGOG00000014072,48.2044
ENSPPYG00000018477,ENSGGOG00000015079,49.3753
ENSPPYG00000018475,ENSGGOG00000009319,47.2693
ENSPPYG00000018473,ENSGGOG00000022257,49.2701
ENSPPYG00000018471,ENSGGOG00000005626,47.9108
ENSPPYG00000018469,ENSGGOG00000022961,48.7243
ENSPPYG00000018467,ENSGGOG00000014343,47.8816
ENSPPYG00000018465,ENSGGOG00000003710,48.6301
ENSPPYG00000018465,ENSGGOG00000027980,49.0408
ENSPPYG00000018463,ENSGGOG00000021984,48.6772
ENSPPYG00000018461,ENSGGOG00000003079,49.1249
ENSPPYG00000018459,ENSGGOG00000022619,48.1395
ENSPPYG00000018457,ENSGGOG00000004406,49.6182
ENSPPYG00000018455,ENSGGOG00000028419,49.3097
ENSPPYG00000018453,ENSGGOG00000025079,49.2188
ENSPPYG00000018451,ENSGGOG00000024213,48.0287
ENSPPYG00000018449,ENSGGOG00000009880,46.4323
ENSPPYG00000018449,ENSGGOG00000009880,46.0372
ENSPPYG00000018449,ENSGGOG00000003259,47.2019
ENSPPYG00000018447,ENSGGOG00000023328,48.5441
ENSPPYG00000018447,ENSGGOG00000023328,48.7095
ENSPPYG00000018445,ENSGGOG00000022136,48.6679
ENSPPYG00000018445,ENSGGOG00000022136,48.7482
ENSPPYG00000018443,ENSGGOG00000027867,44.8124
ENSPPYG00000018441,ENSGGOG00000005030,6
ENSPPYG00000018439,ENSGGOG00000027906,3.09278
ENSPPYG00000018437,ENSGGOG00000011253,49.0093
ENSPPYG00000018435,ENSGGOG00000007620,49.5074
ENSPPYG00000018433,ENSGGOG00000023870,48.5004
ENSPPYG00000018431,ENSGGOG00000000082,49.696
ENSPPYG00000018429,ENSGGOG00000015406,49.3304
ENSPPYG00000018427,ENSGGOG00000016725,48.7749
ENSPPYG00000018425,ENSGGOG00000014501,46.832
ENSPPYG00000018423,ENSGGOG00000007690,48.0159
ENSPPYG00000018421,ENSGGOG00000002467,49.5319
ENSPPYG00000018421,ENSGGOG00000002467,49.3486
ENSPPYG00000018419,ENSGGOG00000026038,48.6216
ENSPPYG00000018417,ENSGGOG00000014406,47.7205
ENSPPYG00000018415,ENSGGOG00000010019,47.2981
ENSPPYG00000018413,ENSGGOG00000009450,48.4575
ENSPPYG00000018411,ENSGGOG00000000082,48.3143
ENSPPYG00000018409,ENSGGOG00000024378,47.1582
ENSPPYG00000018407,ENSGGOG00000028054,48.7274
ENSPPYG00000018407,ENSGGOG00000028054,48.7061
ENSPPYG00000018405,ENSGGOG00000001534,48.9725
ENSPPYG00000018405,ENSGGOG00000001534,48.9725
ENSPPYG00000018405,ENSGGOG00000001534,49.0661
ENSPPYG00000018403,ENSGGOG00000007591,48.9231
ENSPPYG00000018401,ENSGGOG00000028138,48.3333
ENSPPYG00000018399,ENSGGOG00000023668,6.79406
ENSPPYG00000018397,ENSGGOG00000026038,48.7314
ENSPPYG00000018395,ENSGGOG00000022804,48.7356
ENSPPYG00000018393,ENSGGOG00000025378,48.7514
ENSPPYG00000018391,ENSGGOG00000025511,48.9883
ENSPPYG00000018389,ENSGGOG00000009648,49.1895
ENSPPYG00000018389,ENSGGOG00000016873,49.1629
ENSPPYG00000018387,ENSGGOG00000010545,2.97165
ENSPPYG00000018385,ENSGGOG00000007560,47.7855
ENSPPYG00000018383,ENSGGOG00000025261,49.2781
ENSPPYG00000018381,ENSGGOG00000016996,49.0008
ENSPPYG00000018381,ENSGGOG00000003521,49.3409
ENSPPYG00000018379,ENSGGOG00000024197,49.5211
ENSPPYG00000018377,ENSGGOG00000027203,48.6458
ENSPPYG00000018375,ENSGGOG00000013412,49.3659
ENSPPYG00000018373,ENSGGOG00000027478,48.9939
ENSPPYG00000018371,ENSGGOG00000011619,47.7855
ENSPPYG00000018369,ENSGGOG00000009018,48.4848
ENSPPYG00000018367,ENSGGOG00000006754,49.4227
ENSPPYG00000018363,ENSGGOG00000013687,47.6831
ENSPPYG00000018361,ENSGGOG00000007375,49.3902
ENSPPYG00000018359,ENSGGOG00000026369,6.89655
ENSPPYG00000018357,ENSGGOG00000015649,49.2121
ENSPPYG00000018355,ENSGGOG00000027906,49.1909
ENSPPYG00000018353,ENSGGOG00000027959,46.9602
ENSPPYG00000018351,ENSGGOG00000024646,46.7391
ENSPPYG00000018349,ENSGGOG00000006566,49.1453
ENSPPYG00000018347,ENSGGOG00000021980,48.294
ENSPPYG00000018345,ENSGGOG00000023691,47.9412
ENSPPYG00000018343,ENSGGOG00000026041,48.7179
ENSPPYG00000018339,ENSGGOG00000027300,47.6923
ENSPPYG00000018339,ENSGGOG00000026725,48.1481
ENSPPYG00000018337,ENSGGOG00000027804,46.3768
